,sent,CODA,prep
332,من فضلك رسل زول فوق لي شنطي الساعة ستة و نص,من فضلك رسل زول فوق لي شنطي الساعة ستة و نص,من فضلك رسل زول فوق لي شنطي الساعة ستة و نص
333,داير خريطة سان فرانسيسكو و المنطقة المحيطة,داير خريطة سان فرانسيسكو و المنطقة المحيطة,داير خريطة سان فرانسيسكو و المنطقة المحيطة
334,ياتو نوع من العيش عندك,ياتو نوع من العيش عندك,ياتو نوع من العيش عندك
335,وين المصعد,وين المصعد,وين المصعد
336,في هناك اي زول بلعب البيانو,في هناك اي زول بلعب البيانو,في هناك اي زول بلعب البيانو
337,في ياتو محطة مفروض انزل عشان امشي لي امبير استيت بلدنق,في ياتو محطة مفروض انزل عشان امشي لي امبير استيت بلدنق,في ياتو محطة مفروض انزل عشان امشي لي امبير استيت بلدنق
338,الميزانية تحت الف دولار,الميزانية تحت الف دولار,الميزانية تحت الف دولار
339,شكرا ليك لكن ما اظن عندي زمن اقعد ليلتين ممكن تحجز لي غرفة مزدوجة في الفندق داك لليلة اتناشر مارس بس,شكرا ليك لكن ما اظن عندي زمن اقعد ليلتين ممكن تحجز لي غرفة مزدوجة في الفندق داك لليلة اثنعشر مارس بس,شكرا ليك لكن ما اظن عندي زمن اقعد ليلتين ممكن تحجز لي غرفة مزدوجة في الفندق داك لليلة اتناشر مارس بس
340,ممكن احجز غرفة دبل بتطل على المحيط,ممكن احجز غرفة دبل بتطل على المحيط,ممكن احجز غرفة دبل بتطل على المحيط
341,ما قررنا لسة,ما قررنا لسا,ما قررنا لسة
342,صحبي اتعتر و لوا كاحله,صحبي اتعتر و لوى كاحله,صحبي اتعتر و لوا كاحله
343,هل هناك كافيتريا تايلندية قريبة,هل هناك كافيتريا ثايلندية قريبة,هل هناك كافيتريا تايلندية قريبة
344,هو جنب المبنى داك عشان كدا ارجع بنفس الشارع الجيت بيه لغاية الإشارة بعد داك لف للشمال,هو جنب المبنى داك عشان كده ارجع بنفس الشارع الجيت بيه لغاية الإشارة بعد داك لف للشمال,هو جنب المبنى داك عشان كده ارجع بنفس الشارع الجيت بيه لغاية الإشارة بعد داك لف للشمال
345,مفروض احصل طيارة لي لوس انجلس بدري صباح بكرة,مفروض احصل طيارة لي لوس انجلس بدري صباح بكرة,مفروض احصل طيارة لي لوس انجلس بدري صباح بكرة
346,"ثم انا ممكن بوثوق ازكى ""جولة مدينة سان فرانسيسكو""دي دي بتعرفك الخطوط العريضة لسان فرانسيسكو","ثم انا ممكن بوثوق ازكى ""جولة مدينة سان فرانسيسكو""دي دي بتعرفك الخطوط العريضة لسان فرانسيسكو","ثم انا ممكن بوثوق ازكى ""جولة مدينة سان فرانسيسكو""دي دي بتعرفك الخطوط العريضة لسان فرانسيسكو"
347,داير احصل على تأمين,داير احصل على تأمين,داير احصل على تأمين
348,خلينا نخت كمادة باردة لتخفيف الألم,خلينا نخت كمادة باردة لتخفيف الألم,خلينا نخت كمادة باردة لتخفيف الألم
349,دايرة تشتري فستان,دايرة تشتري فستان,دايرة تشتري فستان
350,كم التكسي للفندق دا,كم التكسي للفندق ده,كم التكسي للفندق ده
351,وين المرحاض,وين المرحاض,وين المرحاض
352,هل بتكلف اي حاجة عشان ادخل المبنى دا,هل بتكلف اي حاجة عشان ادخل المبنى ده,هل بتكلف اي حاجة عشان ادخل المبنى ده
353,اخدها في طريقك,اخدها في طريقك,اخدها في طريقك
354,بفتش في شي متانق,بفتش في شي متانق,بفتش في شي متانق
355,الشباك اتسد,الشباك اتسد,الشباك اتسد
356,في ياتو جانب من يونين اسكوير هو,في ياتو جانب من يونين اسكوير هو,في ياتو جانب من يونين اسكوير هو
357,نص اوقية من جانل رقم خمسة من فضلك,نص اوقية من جانل رقم خمسة من فضلك,نص اوقية من جانل رقم خمسة من فضلك
358,رايك شنو في شوية قهوة,رايك شنو في شوية قهوة,رايك شنو في شوية قهوة
359,هل بحتاج لي تزكرة,هل بحتاج لي تزكرة,هل بحتاج لي تزكرة
360,حوالي كم سعر الخدمة,حوالي كم سعر الخدمة,حوالي كم سعر الخدمة
361,كم البعد من هنا,كم البعد من هنا,كم البعد من هنا
362,كريمة و سكر,كريمة و سكر,كريمة و سكر
363,هل عندك معدل نقصان للأعضاء,هل عندك معدل نقصان للأعضاء,هل عندك معدل نقصان للأعضا
364,هل هناك سوبر اكسبرس تسعة و نص,هل هناك سوبر اكسبرس تسعة و نص,هل هناك سوبر اكسبرس تسعة و نص
365,خليني اراجع سائل الفرامل و المحرك  محركك شكله خلاص وقف,خليني اراجع سائل الفرامل و المحرك  محركك شكله خلاص وقف,خليني اراجع سايل الفرامل و المحرك محركك شكله خلاص وقف
366,ما كان غلطي,ما كان غلطي,ما كان غلطي
367,ما في كهرباء,ما في كهرباء,ما في كهربا
368,هل اي زول مفروض يدفع لي مشروباتو,هل اي زول مفروض يدفع لي مشروباته,هل اي زول مفروض يدفع لي مشروباتو
369,من فضلك صلح دا,من فضلك صلح ده,من فضلك صلح ده
370,في ايام رأس السنة و في المناسبات الخاصة زي استقبال العرس حفلات الجائزة او العزاء,في ايام راس السنة و في المناسبات الخاصة زي استقبال العرس حفلات الجايزة او العزاء,في ايام رأس السنة و في المناسبات الخاصة زي استقبال العرس حفلات الجايزة او العزا
371,خردل زيادة من فضلك,خردل زيادة من فضلك,خردل زيادة من فضلك
372,لي ما تديها هدية,ليه ما تديها هدية,لي ما تديها هدية
373,ياتو فلم انت بتزكي,ياتو فلم انت بتزكي,ياتو فلم انت بتزكي
374,دي عشرين و اديني دولارين بقشيش من فضلك,دي عشرين و اديني دولارين بقشيش من فضلك,دي عشرين و اديني دولارين بقشيش من فضلك
375,هي ضربتني بالجنبة,هي ضربتني بالجنبة,هي ضربتني بالجنبة
376,ممكن اجي عند التانية,ممكن اجي عند التانية,ممكن اجي عند التانية
377,هل العفش دا من الرحلة جيه ايه ال صفر واحد,هل العفش دا من الرحلة جيه ايه ال صفر واحد,هل العفش ده من الرحلة جيه ايه ال صفر واحد
378,دي رحلتي الأولى لباريس,دي رحلتي الأولى لباريس,دي رحلتي الأولى لباريس
379,ممكن تخمن التكلفة قبل ما تبدأ الشغل فيه,ممكن تخمن التكلفة قبل ما تبدأ الشغل فيه,ممكن تخمن التكلفة قبل ما تبدأ الشغل فيه
380,ادخل من فضلك,ادخل من فضلك,ادخل من فضلك
381,وين نحن نركب القارب,وين نحن نركب القارب,وين نحن نركب القارب
382,داير العب تنس,داير العب تنس,داير العب تنس
383,هناك في اناناس برتقال و عصير طماطم,هناك في اناناس برتقال و عصير طماطم,هناك في اناناس برتقال و عصير طماطم
384,جانب شمالي للطابق دا جنب المصعد,جانب شمالي للطابق دا جنب المصعد,جانب شمالي للطابق ده جنب المصعد
385,المشغل شنو في قاعة الموسيقى اليوم,المشغل شنو في قاعة الموسيقى اليوم,المشغل شنو في قاعة الموسيقى اليوم
386,ما ممكن بالأحرى تشوف فلم مختلف,ما ممكن بالأحرى تشوف فلم مختلف,ما ممكن بالأحرى تشوف فلم مختلف
387,من فضلك حول شيك المسافر دا لكاش,من فضلك حول شيك المسافر دا لكاش,من فضلك حول شيك المسافر ده لكاش
388,داير اخد نفس الكورس بكرة من فضلك,داير اخد نفس الكورس بكرة من فضلك,داير اخد نفس الكورس بكرة من فضلك
389,انا من المحتمل اقدر اديك اجابة افضل لداك بعد جوز من العروض,انا من المحتمل اقدر اديك اجابة افضل لداك بعد جوز من العروض,انا من المحتمل اقدر اديك اجابة افضل لداك بعد جوز من العروض
390,داير هدية لذكري سنوية,داير هدية لذكري سنوية,داير هدية لذكري سنوية
391,ياتو ملعوبة موسيقية شغالة اسى,ياتو ملعوبة موسيقية شغالة اسى,ياتو ملعوبة موسيقية شغالة اسى
392,هل عندك مراية,هل عندك مراية,هل عندك مراية
393,اعزرني بس انا ضيعت طريقي ممكن تساعدني,اعزرني بس انا ضيعت طريقي ممكن تساعدني,اعزرني بس انا ضيعت طريقي ممكن تساعدني
394,ما ممكن تجيب العاب نارية الى كندا,ما ممكن تجيب العاب نارية لي كندا,ما ممكن تجيب العاب نارية لي كندا
395,زوجتك ما امهرها من طباخة,زوجتك ما امهرها من طباخة,زوجتك ما امهرها من طباخة
396,داير اي مساعدة,داير اي مساعدة,داير اي مساعدة
397,ممكن تعمل حجز لتاكسي للسادسة صباح بكرة من فضلك,ممكن تعمل حجز لتاكسي للسادسة صباح بكرة من فضلك,ممكن تعمل حجز لتاكسي للسادسة صباح بكرة من فضلك
398,داير شنو مع دخولك,داير شنو مع دخولك,داير شنو مع دخولك
399,هل هناك بوتيك حوالي هنا,هل هناك بوتيك حوالي هنا,هل هناك بوتيك حوالي هنا
400,المكان دا ملئ بالناس ول لا,المكان دا ملئ بالناس ول لا,المكان ده ملي بالناس ولا لا
401,جاني تشنج في رقبتي اثناء النوم,جاني تشنج في رقبتي اثناء النوم,جاني تشنج في رقبتي اثنا النوم
402,اوكي ما مشكلة ممكن اشوف جوازك,اوكي ما مشكلة ممكن اشوف جوازك,اوكي ما مشكلة ممكن اشوف جوازك
403,ما عندي اي قروش,ما عندي اي قروش,ما عندي اي قروش
404,في ياتو زمن مفروض اكون في المحطة,في ياتو زمن مفروض اكون في المحطة,في ياتو زمن مفروض اكون في المحطة
405,في مطاعم كتيرة حوالي هنا,في مطاعم كتيرة حوالي هنا,في مطاعم كتيرة حوالي هنا
406,هو بعد غرفة الامانات,هو بعد غرفة الامانات,هو بعد غرفة الامانات
407,كلام سمح معاك,كلام سمح معاك,كلام سمح معاك
408,هل هناك رحلة سياحية بعد الظهر,هل هناك رحلة سياحية بعد الظهر,هل هناك رحلة سياحية بعد الظهر
409,انا مع اصحابي,انا مع اصحابي,انا مع اصحابي
410,استمتعت بي قعدتي شكرا,استمتعت بي قعدتي شكرا,استمتعت بي قعدتي شكرا
411,الشاطئ تحت ما اجمله من منظر,الشاطئ تحت ما اجمله من منظر,الشاطي تحت ما اجمله من منظر
412,شكرا ليك للانتظار مس مسقاير هو هنا اتفضلي من فضلك,شكرا ليك للانتظار مس مسقاير هو هنا اتفضلي من فضلك,شكرا ليك للانتظار مس مسقاير هو هنا اتفضلي من فضلك
413,هل عندك هوية فيها صورة,هل عندك هوية فيها صورة,هل عندك هوية فيها صورة
414,سبعة من فضلك,سبعة من فضلك,سبعة من فضلك
415,عندي بنطلون مخطط,عندي بنطلون مخطط,عندي بنطلون مخطط
416,ممكن احصل عليه موضح اكتر بالتفصيل,ممكن احصل عليه موضح اكثر بالتفصيل,ممكن احصل عليه موضح اكتر بالتفصيل
417,هل نمت كويس,هل نمت كويس,هل نمت كويس
418,ممكن تضغط زر التصوير,ممكن تضغط زر التصوير,ممكن تضغط زر التصوير
419,مفتاحين من فضلك,مفتاحين من فضلك,مفتاحين من فضلك
420,داير لمبة,داير لمبة,داير لمبة
421,هو في نهاية الممر,هو في نهاية الممر,هو في نهاية الممر
422,داير بعض ورق الملاحظات,داير بعض ورق الملاحظات,داير بعض ورق الملاحظات
423,نحن ماشين بالبص,نحن ماشين بالبص,نحن ماشين بالبص
424,انت قلت انك ماشي لي توكيو بكرة,انت قلت انك ماشي لي توكيو بكرة,انت قلت انك ماشي لي توكيو بكرة
425,خليني انوم لحدي الساعة تسعة,خليني انوم لحدي الساعة تسعة,خليني انوم لحدي الساعة تسعة
426,مفروض احول الى اي دبليو واحد صفر صفر هل ممكن,مفروض احول الى اي دبليو واحد صفر صفر هل ممكن,مفروض احول لي اي دبليو واحد صفر صفر هل ممكن
427,لعبتك كيف الأيام دي,لعبتك كيف الأيام دي,لعبتك كيف الأيام دي
428,حاسي بضيق في الصدر,حاسي بضيق في الصدر,حاسي بضيق في الصدر
429,ما مشكلة اذا جيت في خمسة سبتمبر ممكن تستمتع بعرض فلم علمي لأننا عندنا يوم خاص مفتوح في اول جمعة من كل شهر,ما مشكلة اذا جيت في خمسة سبتمبر ممكن تستمتع بعرض فلم علمي لأننا عندنا يوم خاص مفتوح في اول جمعة من كل شهر,ما مشكلة اذا جيت في خمسة سبتمبر ممكن تستمتع بعرض فلم علمي لأننا عندنا يوم خاص مفتوح في اول جمعة من كل شهر
430,هل عندك اي جولة تانية,هل عندك اي جولة ثانية,هل عندك اي جولة تانية
431,كلو تمام خمسة في المية خصم كدا اوكي,كله تمام خمسة في المية خصم كده اوكي,كلو تمام خمسة في المية خصم كده اوكي
432,انا ماشى لي باريس,انا ماشى لي باريس,انا ماشى لي باريس
433,هو ما آخر موديل ول لا,هو ما آخر موديل ولا لأ,هو ما آخر موديل ولا لا
434,هو اتجدول لتمنية و تلاتين في المساء توقيت محلي,هو اتجدول لتمنية و تلاتين في المساء توقيت محلي,هو اتجدول لتمنية و تلاتين في المسا توقيت محلي
435,اخد المبنى داك معانا من فضلك,اخد المبنى داك معانا من فضلك,اخد المبنى داك معانا من فضلك
436,دا شكلو كيف,ده شكله كيف,ده شكلو كيف
437,داير اشوف الواحد داك في الشباك من فضلك,داير اشوف الواحد داك في الشباك من فضلك,داير اشوف الواحد داك في الشباك من فضلك
438,ماف طريقة نحن في فاكيشن انا ارفض ان اقعد في غرفة فندق و اشاهد بيسبول في التلفزيون داير امشي احضر مسرحية,ماف طريقة نحن في فاكيشن انا ارفض ان اقعد في غرفة فندق و اشاهد بيسبول في التلفزيون داير امشي احضر مسرحية,ماف طريقة نحن في فاكيشن انا ارفض ان اقعد في غرفة فندق و اشاهد بيسبول في التلفزيون داير امشي احضر مسرحية
439,ممكن المسه,ممكن المسه,ممكن المسه
440,ممكن تجي هنا عشان تصلحوا,ممكن تجي هنا عشان تصلحوا,ممكن تجي هنا عشان تصلحوا
441,داير بعض الفايبر الصناعي,داير بعض الفايبر الصناعي,داير بعض الفايبر الصناعي
442,اسمي تارو تاكانا عندي حجز,اسمي تارو تاكانا عندي حجز,اسمي تارو تاكانا عندي حجز
443,داير بعض كريم التطهير,داير بعض كريم التطهير,داير بعض كريم التطهير
444,داير بلوزة بي اكمام طويلة,داير بلوزة مع اكمام طويلة,داير بلوزة بي اكمام طويلة
445,اتسرقت مني شنطتي,اتسرقت مني شنطتي,اتسرقت مني شنطتي
446,طرقاتنا شكلها بتتعارض مرات كتيرة ول لا,طرقاتنا شكلها بتتعارض مرات كثيرة ولا لأ,طرقاتنا شكلها بتتعارض مرات كتيرة ولا لا
447,ممكن اشوف القائمة تاني,ممكن اشوف القائمة ثاني,ممكن اشوف القايمة تاني
448,هم لسة بظهروا خضر شوية,هم لسا بظهروا خضر شوية,هم لسة بظهروا خضر شوية
449,كم عدد,كم عدد,كم عدد
450,فراولة من فضلك,فراولة من فضلك,فراولة من فضلك
451,جبل فوجي هو اعلى قمة يابانية عند تلاتة الف و سبعمية ستة وسبعين متر,جبل فوجي هو اعلى قمة يابانية عند ثلاثة الف و سبعمية ستة وسبعين متر,جبل فوجي هو اعلى قمة يابانية عند تلاتة الف و سبعمية ستة وسبعين متر
452,لا لسة في كمية تختار منهم,لأ لسا في كمية تختار منهم,لا لسة في كمية تختار منهم
453,داير شوية كريم الليل,داير شوية كريم الليل,داير شوية كريم الليل
454,هو بين المخبز و دكان الجزار,هو بين المخبز و دكان الجزار,هو بين المخبز و دكان الجزار
455,ممكن تقصر الأكمام,ممكن تقصر الأكمام,ممكن تقصر الأكمام
456,آسف ما في ملعب قولف قريب هنا,آسف ما في ملعب قولف قريب هنا,آسف ما في ملعب قولف قريب هنا
457,ممكن توريني الخاتم التاني من الشمال,ممكن توريني الخاتم الثاني من الشمال,ممكن توريني الخاتم التاني من الشمال
458,ممكن تطلب منه يتصل علي,ممكن تطلب منه يتصل علي,ممكن تطلب منه يتصل علي
459,حاولت اعمل مكالمة دولية,حاولت اعمل مكالمة دولية,حاولت اعمل مكالمة دولية
460,دا غلط,ده غلط,ده غلط
461,نعم دا هو لأنك ممكن تشوف العلم قدام مكتب البريد,نعم ده هو لأنك ممكن تشوف العلم قدام مكتب البريد,نعم ده هو لأنك ممكن تشوف العلم قدام مكتب البريد
462,داير اعمل مكالمة هاتفية بي كردت كارد,داير اعمل مكالمة هاتفية بي كردت كارد,داير اعمل مكالمة هاتفية بي كردت كارد
463,داير حقي يمشي,داير حقي يمشي,داير حقي يمشي
464,الايام دي دائما بستخدم كمبيوتر في الشغل, الايام دي دايما بستخدم كمبيوتر في الشغل,الايام دي دايما بستخدم كمبيوتر في الشغل
465,لا داك كفاية,لأ داك كفاية,لا داك كفاية
466,ممكن اخد بطانية و مخدة,ممكن اخد بطانية و مخدة,ممكن اخد بطانية و مخدة
467,ممكن تجي هنا بسرعة قدر الإمكان من فضلك,ممكن تجي هنا بسرعة قدر الإمكان من فضلك,ممكن تجي هنا بسرعة قدر الإمكان من فضلك
468,كباية قهوة من فضلك,كباية قهوة من فضلك,كباية قهوة من فضلك
469,بفتش لي بعض البطاقات الهواوية نموذجيا,بفتش لي بعض البطاقات الهواوية نموذجيا,بفتش لي بعض البطاقات الهواوية نموذجيا
470,ممكن تضيق الخصر تلاتة سنتيمترات,ممكن تضيق الخصر ثلاثة سنتيمترات,ممكن تضيق الخصر تلاتة سنتيمترات
471,انا نفس العمر,انا نفس العمر,انا نفس العمر
472,تلتمية و خمسين دولار داك فوق ميزانيتي,ثلثمية و خمسين دولار داك فوق ميزانيتي,تلتمية و خمسين دولار داك فوق ميزانيتي
473,هل تعرف اذا كان هناك اي فنادق رخيصة,هل تعرف اذا كان هناك اي فنادق رخيصة,هل تعرف اذا كان هناك اي فنادق رخيصة
474,صباح الخير هل نمت كويس,صباح الخير هل نمت كويس,صباح الخير هل نمت كويس
475,ناوي تسوي شنو بعد ما تنتهي المدرسة,ناوي تسوي شنو بعد ما تنتهي المدرسة,ناوي تسوي شنو بعد ما تنتهي المدرسة
476,اتسرقت في شنطة الكتف بتاعتي في الشارع,اتسرقت في شنطة الكتف بتاعتي في الشارع,اتسرقت في شنطة الكتف بتاعتي في الشارع
477,هل عندك اي خدمات تانية غير الفطور الصباح دا,هل عندك اي خدمات ثانية غير الفطور الصباح ده,هل عندك اي خدمات تانية غير الفطور الصباح ده
478,داير كباية قهوة بيضاء من فضلك,داير كباية قهوة بيضاء من فضلك,داير كباية قهوة بيضا من فضلك
479,اوكي هل فندق الشيراتون حوالي هنا,اوكي هل فندق الشيراتون حوالي هنا,اوكي هل فندق الشيراتون حوالي هنا
480,اتمنى انك ما تعبان شديد,اتمنى انك ما تعبان شديد,اتمنى انك ما تعبان شديد
481,داير اأجر عربية من النوع دا لي يومين,داير اأجر عربية من النوع ده لي يومين,داير اأجر عربية من النوع ده لي يومين
482,انا وقعت عصاية تزلج,انا وقعت عصاية تزلج,انا وقعت عصاية تزلج
483,نحن ما بنجيب هدايا للاستقبال كبديل الضيوف بجيبوا كاش,نحن ما بنجيب هدايا للاستقبال كبديل الضيوف بجيبوا كاش,نحن ما بنجيب هدايا للاستقبال كبديل الضيوف بجيبوا كاش
484,داير ارسله بالبريد البري او البحري,داير ارسله بالبريد البري او البحري,داير ارسله بالبريد البري او البحري
485,الطيارة وصلت متأخرة بسبب الثلج الثقيل,الطيارة وصلت متأخرة بسبب الثلج الثقيل,الطيارة وصلت متأخرة بسبب الثلج الثقيل
486,اشحن من فضلك,اشحن من فضلك,اشحن من فضلك
487,ممكن تاخد رسالة من فضلك,ممكن تاخد رسالة من فضلك,ممكن تاخد رسالة من فضلك
488,سوري ما قادر اتابعك ممكن تتكلم ابطأ شوية من فضلك,سوري ما قادر اتابعك ممكن تتكلم ابطأ شوية من فضلك,سوري ما قادر اتابعك ممكن تتكلم ابطأ شوية من فضلك
489,ممكن اوريك شنو,ممكن اوريك شنو,ممكن اوريك شنو
490,ممكن اخد صور,ممكن اخد صور,ممكن اخد صور
491,خارج المئة,خارج المية,خارج المية
492,رقم الرحلة اتش بي تسعة وتمانين لي طوكيو في حدعشر مارس,رقم الرحلة اتش بي تسعة وثمانين لي طوكيو في حدعشر مارس,رقم الرحلة اتش بي تسعة وتمانين لي طوكيو في حدعشر مارس
493,ممكن اخد نفس الصحن زي داك,ممكن اخد نفس الصحن زي داك,ممكن اخد نفس الصحن زي داك
494,هل عندك واحد تاني,هل عندك واحد ثاني,هل عندك واحد تاني
495,من فضلك جيب فطوري لي غرفتي سبعة صباح بكرة,من فضلك جيب فطوري لي غرفتي سبعة صباح بكرة,من فضلك جيب فطوري لي غرفتي سبعة صباح بكرة
496,كيف ممكن اخده,كيف ممكن اخده,كيف ممكن اخده
497,هل هناك اي شواغر في جولة الخميس,هل هناك اي شواغر في جولة الخميس,هل هناك اي شواغر في جولة الخميس
498,اعذرني  ممكن امر,اعذرني  ممكن امر,اعذرني ممكن امر
499,هل عندك اي نبتات و فواكه,هل عندك اي نبتات و فواكه,هل عندك اي نبتات و فواكه
500,من فضلك وريني كيف املأ بطاقة النزول,من فضلك وريني كيف املأ بطاقة النزول,من فضلك وريني كيف املأ بطاقة النزول
501,اعتقد انو عربيتي بتستحق حوالي خمسة الف دولار,اعتقد انو عربيتي بتستحق حوالي خمسة الف دولار,اعتقد انو عربيتي بتستحق حوالي خمسة الف دولار
502,هل الأكل دا منخفض في السعرات الحرارية,هل الأكل ده منخفض في السعرات الحرارية,هل الأكل ده منخفض في السعرات الحرارية
503,ياتو بص مفروض اخد عشان امشي المحطة,ياتو بص مفروض اخد عشان امشي المحطة,ياتو بص مفروض اخد عشان امشي المحطة
504,نعم دا هو لكن لازم تلف شمال في الإشارة التالتة و تبقى في الشارع داك لغاية تجي لي شارع ستة وستين,نعم ده هو لكن لازم تلف شمال في الإشارة الثالثة و تبقى في الشارع داك لغاية تجي لي شارع ستة وستين,نعم ده هو لكن لازم تلف شمال في الإشارة التالتة و تبقى في الشارع داك لغاية تجي لي شارع ستة وستين
505,داير كباية موية عشان اخد دواء من فضلك,داير كباية موية عشان اخد دواء من فضلك,داير كباية موية عشان اخد دوا من فضلك
506,انا آسف عندك الرقم غلط دي تانكيوشا بريس,انا آسف عندك الرقم غلط دي تانكيوشا بريس,انا آسف عندك الرقم غلط دي تانكيوشا بريس
507,بنغادر,بنغادر,بنغادر
508,دي موسيقة شنو,دي موسيقة شنو,دي موسيقة شنو
509,من فضلك ادى العصير دا لي طفلك مقاس واحد بعد كل وجبة,من فضلك ادى العصير ده لي طفلك مقاس واحد بعد كل وجبة,من فضلك ادى العصير ده لي طفلك مقاس واحد بعد كل وجبة
510,الاستايل متوفر في المقاسات تمنية وعشرين واحد وتلاتين و خمسة وتلاتين سنتيمتر ,الاستايل متوفر في المقاسات ثمانية وعشرين واحد وثلاثين و خمسة وثلاثين سنتيمتر ,الاستايل متوفر في المقاسات تمنية وعشرين واحد وتلاتين و خمسة وتلاتين سنتيمتر
511,اوه داك شكله كثير,اوه داك شكله كثير,اوه داك شكله كثير
512,ممكن استخدم تلفونك,ممكن استخدم تلفونك,ممكن استخدم تلفونك
513,داك ريحتو حلوة كم سعره,داك ريحته حلوة كم سعره,داك ريحتو حلوة كم سعره
514,انا اكلت شوية اكتر من اللازم,انا اكلت شوية اكثر من اللازم,انا اكلت شوية اكتر من اللازم
515,ممكن اتكلم مع مس براون,ممكن اتكلم مع مس براون,ممكن اتكلم مع مس براون
516,البيت دا شكلو المعيشه فيهو مريحة ول لا,البيت ده شكله المعيشة فيه مريحة ولا لأ,البيت ده شكلو المعيشه فيهو مريحة ولا لا
517,داير اعمل حجز في نورث ويست رحلة صفر تمانية ستة يوم خمسة,داير اعمل حجز في نورث ويست رحلة صفر ثمانية ستة يوم خمسة,داير اعمل حجز في نورث ويست رحلة صفر تمانية ستة يوم خمسة
518,محفظتي جوازي,محفظتي جوازي,محفظتي جوازي
519,متين بتقفل,متين بتقفل,متين بتقفل
520,انتظر دقيقة احتمال انا خليته في الحمام,انتظر دقيقة احتمال انا خليته في الحمام,انتظر دقيقة احتمال انا خليته في الحمام
521,نعم اظن كدا,نعم اظن كده,نعم اظن كده
522,بيتك كبير كم غرفة,بيتك كبير كم غرفة,بيتك كبير كم غرفة
523,استمتعنا بالعشاء,استمتعنا بالعشاء,استمتعنا بالعشا
524,انا فهمت بس ما بقدر اقوله,انا فهمت بس ما بقدر اقوله,انا فهمت بس ما بقدر اقوله
525,اوه نعم من فضلك بس انا بتمنى ما يصيبهم دوار البحر,اوه نعم من فضلك بس انا بتمنى ما يصيبهم دوار البحر,اوه نعم من فضلك بس انا بتمنى ما يصيبهم دوار البحر
526,لي طوكيو من فضلك,لي طوكيو من فضلك,لي طوكيو من فضلك
527,زمن الوصول المتوقع حقنا شنو,زمن الوصول المتوقع حقنا شنو,زمن الوصول المتوقع حقنا شنو
528,انا مغادر بدري بكرة عشان كده داير ادفع اسى,انا مغادر بدري بكرة عشان كده داير ادفع اسي,انا مغادر بدري بكرة عشان كده داير ادفع اسى
529,دراي شيري من فضلك,دراي شيري من فضلك,دراي شيري من فضلك
530,مقعد لغير المدخنين من فضلك,مقعد لغير المدخنين من فضلك,مقعد لغير المدخنين من فضلك
531,هو مشغول الآن,هو مشغول الآن,هو مشغول الآن
532,هل ممكن للأجانب الوصول للكتب في المكتبة دي,هل ممكن للأجانب الوصول للكتب في المكتبة دي,هل ممكن للأجانب الوصول للكتب في المكتبة دي
533,هل ممكن اقعد في غرفتي لغاية اتنين بعد الظهر,هل ممكن اقعد في غرفتي لغاية اثنين بعد الظهر,هل ممكن اقعد في غرفتي لغاية اتنين بعد الظهر
534,ها-ها صباح الخير وقتك اوكي,ها-ها صباح الخير وقتك اوكي,ها-ها صباح الخير وقتك اوكي
535,داير فيلم من رقم ال ايه اس ايه ده للكاميرا دي من فضلك,داير فيلم من رقم ال ايه اس ايه ده للكاميرا دي من فضلك,داير فيلم من رقم ال ايه اس ايه ده للكاميرا دي من فضلك
536,وين دهانات مونت,وين دهانات مونت,وين دهانات مونت
537,البيتزا دي لذيذة العملها منو,البيتزا دي لذيذة العملها منو,البيتزا دي لذيذة العملها منو
538,الصحن دا طعمه كيف,الصحن ده طعمه كيف,الصحن ده طعمه كيف
539,برضه هم غالين,برضو هم غالين,برضه هم غالين
540,متين بغادر القطر التالي لي بوسطن,متين بغادر القطر التالي لي بوسطن,متين بغادر القطر التالي لي بوسطن
541,انا مخطط اتعلم القولف,انا مخطط اتعلم القولف,انا مخطط اتعلم القولف
542,من فضلك اديني مشروب تاني,من فضلك اديني مشروب ثاني,من فضلك اديني مشروب تاني
543,راكب الموج ده جيد جدا,راكب الموج ده جيد جدا,راكب الموج ده جيد جدا
544,آسف الأكمام قصيرة جدا,آسف الأكمام قصيرة جدا,آسف الأكمام قصيرة جدا
545,ممكن توريني كيف اخت البنزين,ممكن توريني كيف اخت البنزين,ممكن توريني كيف اخت البنزين
546,هل رسوم الفندق بتشمل الفطور,هل رسوم الفندق بتشمل الفطور,هل رسوم الفندق بتشمل الفطور
547,هل دا كل شي,هل ده كل شي,هل ده كل شي
548,هو في الطريق دا,هو في الطريق ده,هو في الطريق ده
549,من فضلك ابدا العداد,من فضلك ابدا العداد,من فضلك ابدا العداد
550,غرفتي باردة شديد,غرفتي باردة شديد,غرفتي باردة شديد
551,هل عندك واحد اكبر,هل عندك واحد اكبر,هل عندك واحد اكبر
552,شاعر بي تحسن,شاعر بي تحسن,شاعر بي تحسن
553,هل انت متالف مع جغرافية اليابان,هل انت متالف مع جغرافية اليابان,هل انت متالف مع جغرافية اليابان
554,من فضلك توريني لمن اكون في الخريطة دي,من فضلك توريني لمن اكون في الخريطة دي,من فضلك توريني لمن اكون في الخريطة دي
555,مئة في المئة قطن,مية في المية قطن,مية في المية قطن
556,داير ابدل لي غرفة مطلة على المحيط هل هناك اي مصاريف اضافية,داير ابدل لي غرفة مطلة على المحيط هل هناك اي مصاريف اضافية,داير ابدل لي غرفة مطلة على المحيط هل هناك اي مصاريف اضافية
