,sentID.BTEC,split,lang,sent,revised,CODA
331,3285,corpus-6-test-corpus-26-train,KHA,انا متأخر. مفروض اكون ماشى.,,انا متأخر. مفروض اكون ماشي.
332,3289,corpus-6-test-corpus-26-train,KHA,انا ما استعملت خدمة الغسيل بتاعتك. ح تراجع دا تاني؟,,انا ما استعملت خدمة الغسيل بتاعتك. حتراجع ده تاني؟
333,3292,corpus-6-test-corpus-26-train,KHA,داير شاي، من فضلك.,,داير شاي، من فضلك.
334,3295,corpus-6-test-corpus-26-train,KHA,لا، ما في هناك.,,لا، ما في هناك.
335,3304,corpus-6-test-corpus-26-train,KHA,هل دا آخر استوب؟,,هل ده آخر استوب؟
336,3318,corpus-6-test-corpus-26-train,KHA,خلينا نتصل بيه.,,خلينا نتصل بيه.
337,3323,corpus-6-test-corpus-26-train,KHA,هل الاسبايسي دا سخن؟,,هل الاسبايسي ده سخن؟
338,3334,corpus-6-test-corpus-26-train,KHA,وين ممكن ألقى بص لمعالم المدينة؟,,وين ممكن القى بص لي معالم المدينة؟
339,3335,corpus-6-test-corpus-26-train,KHA,نعم، أنا داير أعمل مشاهدة للمدينة.,نعم، انا داير اشوف المدينة.,نعم، انا داير اشوف المدينة.
340,3351,corpus-6-test-corpus-26-test,KHA,هناك عدة سواح حول المبنى، الشكلهم اتجمعوا عشان يشوفوا الحاصل شنو.,في كم سواح حول المبنى، شكلهم اتجمعوا عشان يشوفوا الحاصل شنو.,هناك كم سواح حول المبنى، شكلهم اتجمعوا عشان يشوفوا الحاصل شنو.
341,3359,corpus-6-test-corpus-26-train,KHA,شكرا ليك على ضيافتك.,,شكرا ليك على ضيافتك.
342,3375,corpus-6-test-corpus-26-train,KHA,الأمانة أفضل سياسة.,,الأمانة افضل سياسة.
343,3385,corpus-6-test-corpus-26-train,KHA,ممكن تصحيني الساعة ستة، من فضلك؟,,ممكن تصحيني الساعة ستة، من فضلك؟
344,3392,corpus-6-test-corpus-26-train,KHA,بتكلف كم لي نص يوم؟,,بتكلف كم لي نص يوم؟
345,3397,corpus-6-test-corpus-26-train,KHA,انا كنجي.,,انا كنجي.
346,3402,corpus-6-test-corpus-26-train,KHA,هل بتعرف اي أماكن جيدة للرؤية في شيكاغو؟,,هل بتعرف اي اماكن جيدة للرؤية في شيكاغو؟
347,3404,corpus-6-test-corpus-26-train,KHA,طيب، إذا انتو الاتنين مصرين، ح أمشي معاكم.,,طيب، اذا انتو الاثنين مصرين، حامشي معاكم.
348,3413,corpus-6-test-corpus-26-dev,KHA,ممكن تبدل دي لواحدة أخرى من نفس النوع، من فضلك؟,ممكن تبدل دي لي واحدة تانية من نفس النوع، من فضلك؟,ممكن تبدل دي لي واحدة تانية من نفس النوع، من فضلك؟
349,3446,corpus-6-test-corpus-26-train,KHA,داير اعمل حجز لتلاتة و نص بعد الظهر.,,داير اعمل حجز لي ثلاثة و نص بعد الظهر.
350,3489,corpus-6-test-corpus-26-train,KHA,صندوق الأمان، من فضلك.,,صندوق الأمان، من فضلك.
351,3502,corpus-6-test-corpus-26-train,KHA,من فضلك، شيل خمرة مناسبة.,,من فضلك، شيل خمرة مناسبة.
352,3512,corpus-6-test-corpus-26-test,KHA,داير محل صغير.,,داير محل صغير.
353,3522,corpus-6-test-corpus-26-train,KHA,هل مفروض ادفع للبنزين؟,,هل مفروض ادفع للبنزين؟
354,3557,corpus-6-test-corpus-26-train,KHA,حرامي. اقبضه.,,حرامي. اقبضه.
355,3562,corpus-6-test-corpus-26-test,KHA,نحن منتظرين أصحابنا يجوا.,,نحن منتظرين اصحابنا يجوا.
356,3572,corpus-6-test-corpus-26-train,KHA,من فضلك اديني شوية الفكه.,,من فضلك اديني شوية الفكة.
357,3619,corpus-6-test-corpus-26-test,KHA,كيرلي ضيق، من فضلك.,,كيرلي ضيق، من فضلك.
358,3628,corpus-6-test-corpus-26-train,KHA,هي رشيقة و لطيفة.,,هي رشيقة و لطيفة.
359,3638,corpus-6-test-corpus-26-test,KHA,اوبرت الليلة شنو؟,,اوبرة الليلة شنو؟
360,3640,corpus-6-test-corpus-26-train,KHA,مقلي، من فضلك.,,مقلي، من فضلك.
361,3644,corpus-6-test-corpus-26-train,KHA,غسيلي ما اترجع لسة.,,غسيلي ما اترجع لسا.
362,3649,corpus-6-test-corpus-26-train,KHA,بالمناسبة، انت فاضي السبت الجاي دا؟,,بالمناسبة، انت فاضي السبت الجاي ده؟
363,3667,corpus-6-test-corpus-26-train,KHA,طيب، احتمال نحن ح نكون كويسين لفترة طويلة معا.,,طيب، احتمال نحن حنكون كويسين لفترة طويلة معا.
364,3669,corpus-6-test-corpus-26-train,KHA,هي بتعاملني زي لو كنت شحاد.,,هي بتعاملني زي لو كنت شحاد.
365,3683,corpus-6-test-corpus-26-train,KHA,انا شايف. برضه، ممكن تساعدني في مشكلة تانية؟,,انا شايف. برضو، ممكن تساعدني في مشكلة ثانية؟
366,3685,corpus-6-test-corpus-26-train,KHA,ممكن تخت عدسات طبية في النظارات الشمسية دي؟,,ممكن تخت عدسات طبية في النظارات الشمسية دي؟
367,3698,corpus-6-test-corpus-26-dev,KHA,ح اخد اتنين من ديل.,,حاخد اثنين من ديل.
368,3705,corpus-6-test-corpus-26-train,KHA,ما الطفهم من كلاب. ياتو فصيلة؟,ما الطف الكلاب دي. ياتو فصيلة؟,ما الطف الكلاب دي. ياتو فصيلة؟
369,3721,corpus-6-test-corpus-26-train,KHA,وقعت مفراكتي. من فضلك جيب واحدة اخرى.,وقعت مفراكتي. من فضلك جيب واحدة تانية.,وقعت مفراكتي. من فضلك جيب واحدة ثانية.
370,3742,corpus-6-test-corpus-26-train,KHA,داك كان ظريف.,,داك كان ظريف.
371,3747,corpus-6-test-corpus-26-train,KHA,اكيد. أمشي دغري و لف يمين عند الكورنة التالتة. ح تلقاه على يمينك.,,اكيد. امشي دغري و لف يمين عند الكورنة الثالثة. حتلقاه على يمينك.
372,3765,corpus-6-test-corpus-26-dev,KHA,هل عندك بعض الفلم لاسلايدات ملونة؟,,هل عندك بعض الفلم لاسلايدات ملونة؟
373,3780,corpus-6-test-corpus-26-train,KHA,هل تعرف كاثي؟ أنه عيد ميلادها.,هل ب تعرف كاثي؟ الليلة عيد ميلادها.,هل بتعرف كاثي؟ الليلة عيد ميلادها.
374,3789,corpus-6-test-corpus-26-train,KHA,هل عندك مخطط ملون؟,,هل عندك مخطط ملون؟
375,3792,corpus-6-test-corpus-26-dev,KHA,ممكن ادفع بشيك سياحي؟,,ممكن ادفع بي شيك سياحي؟
376,3806,corpus-6-test-corpus-26-train,KHA,لكن، هو، رجل، كيف أعرف داك الشئ الحقيقي؟,لكن، هو، راجل، كيف أعرف داك الشئ الحقيقي؟,لكن، هو، راجل، كيف اعرف داك الشي الحقيقي؟
377,3825,corpus-6-test-corpus-26-train,KHA,ممكن احصل عليه خالي من الضرائب؟,,ممكن احصل عليه خالي من الضرائب؟
378,3829,corpus-6-test-corpus-26-train,KHA,ما قادر أخت عفشي تحت المقعد. ممكن تمسكوا لي، من فضلك؟,,ما قادر اخت عفشي تحت المقعد. ممكن تمسكوا لي، من فضلك؟
379,3835,corpus-6-test-corpus-26-train,KHA,ممكن من فضلك تخت الشنطة دي في شنطة العربية؟,,ممكن من فضلك تخت الشنطة دي في شنطة العربية؟
380,3847,corpus-6-test-corpus-26-train,KHA,انا طالع أسى، عشان كدا ح ارفعه.,,انا طالع هسي، عشان كده حارفعه.
381,3856,corpus-6-test-corpus-26-train,KHA,من فضلك رسل زول فوق لي شنطي عند ستة و تلاتين.,من فضلك رسل زول فوق لي شنطي الساعة ستة و نص.,من فضلك رسل زول فوق لي شنطي الساعة ستة و نص.
382,3858,corpus-6-test-corpus-26-dev,KHA,داير خريطة سان فرانسيسكو و المنطقة المحيطة.,,داير خريطة سان فرانسيسكو و المنطقة المحيطة.
383,3859,corpus-6-test-corpus-26-train,KHA,ياتو نوع من العيش عندك؟,,ياتو نوع من العيش عندك؟
384,3860,corpus-6-test-corpus-26-train,KHA,وين المصعد؟,,وين المصعد؟
385,3861,corpus-6-test-corpus-26-train,KHA,في هناك اي زول بلعب البيانو؟,,في هناك اي زول بلعب البيانو؟
386,3872,corpus-6-test-corpus-26-test,KHA,في ياتو محطة مفروض انزل عشان أمشي لي امبير استيت بلدنق؟,,في ياتو محطة مفروض انزل عشان امشي لي امبير استيت بلدنق؟
387,3887,corpus-6-test-corpus-26-test,KHA,الميزانية تحت واحد ألف دولار.,الميزانية تحت الف دولار.,الميزانية تحت الف دولار.
388,3892,corpus-6-test-corpus-26-train,KHA,شكرا ليك، لكن ما أظن عندي زمن اقعد ليلتين. ممكن تحجز لي غرفة مزدوجة في الفندق داك لليلة اتناشر مارس بس؟,,شكرا ليك، لكن ما اظن عندي زمن اقعد ليلتين. ممكن تحجز لي غرفة مزدوجة في الفندق داك لليلة اثنعشر مارس بس؟
389,3900,corpus-6-test-corpus-26-dev,KHA,من احجز غرفة دبل بتطل على المحيط؟,ممكن احجز غرفة دبل بتطل على المحيط؟,ممكن احجز غرفة دبل بتطل على المحيط؟
390,3920,corpus-6-test-corpus-26-train,KHA,ما قررنا لسة.,,ما قررنا لسا.
391,3928,corpus-6-test-corpus-26-train,KHA,صحبي اتعتر و لوا كاحله.,,صحبي اتعتر و لوى كاحله.
392,3936,corpus-6-test-corpus-26-train,KHA,ح أجرب بعض العصير.,ح اجرب شوية عصير.,حاجرب شوية عصير.
393,3961,corpus-6-test-corpus-26-train,KHA,هل هناك كافيتريا تايلندية قريبة؟,,هل هناك كافيتريا ثايلندية قريبة؟
394,3972,corpus-6-test-corpus-26-train,KHA,إنه قرب ذلك المبنى. عشان كدا، أرجع بنفس الشارع الجيت بيه لغاية الإشارة. ثم، لف للشمال.,هو جنب المبنى داك. عشان كدا، ارجع بنفس الشارع الجيت بيه لغاية الإشارة. بعد داك، لف للشمال.,هو جنب المبنى داك. عشان كده، ارجع بنفس الشارع الجيت بيه لغاية الإشارة. بعد داك، لف للشمال.
395,3974,corpus-6-test-corpus-26-train,KHA,مفروض احصل طائرة لي لوس أنجلس بدري صباح بكرة.,مفروض احصل طيارة لي لوس أنجلس بدري صباح بكرة.,مفروض احصل طيارة لي لوس انجلس بدري صباح بكرة.
396,3988,corpus-6-test-corpus-26-train,KHA,"ثم انا ممكن بوثوق أزكى ""جولة مدينة سان فرانسيسكو""دي. دي بتعرفك الخطوط العريضة لسان فرانسيسكو.",,"ثم انا ممكن بوثوق ازكى ""جولة مدينة سان فرانسيسكو""دي. دي بتعرفك الخطوط العريضة لسان فرانسيسكو."
397,3991,corpus-6-test-corpus-26-train,KHA,داير احصل على تأمين.,,داير احصل على تأمين.
398,3995,corpus-6-test-corpus-26-test,KHA,خلينا نخت كمادة باردة لتخفيف الألم.,,خلينا نخت كمادة باردة لتخفيف الألم.
399,4013,corpus-6-test-corpus-26-train,KHA,دايرة تشتري فستان.,,دايرة تشتري فستان.
400,4016,corpus-6-test-corpus-26-train,KHA,كم التكسي للفندق دا؟,,كم التكسي للفندق ده؟
401,4017,corpus-6-test-corpus-26-train,KHA,وين المرحاض؟,,وين المرحاض؟
402,4034,corpus-6-test-corpus-26-train,KHA,هل بتكلف أي حاجة عشان ادخل المبنى دا؟,,هل بتكلف اي حاجة عشان ادخل المبنى ده؟
403,4036,corpus-6-test-corpus-26-train,KHA,اخدها في طريقك.,,اخدها في طريقك.
404,4082,corpus-6-test-corpus-26-test,KHA,بفتش في شي متانق.,,بفتش في شي متانق.
405,4104,corpus-6-test-corpus-26-train,KHA,الشباك اتسد.,,الشباك اتسد.
406,4109,corpus-6-test-corpus-26-dev,KHA,في ياتو جانب من يونين اسكوير هو؟,,في ياتو جانب من يونين اسكوير هو؟
407,4119,corpus-6-test-corpus-26-train,KHA,نص أوقية من جانل رقم خمسة، من فضلك.,,نص اوقية من جانل رقم خمسة، من فضلك.
408,4129,corpus-6-test-corpus-26-train,KHA,ماذا عن بعض القهوة؟,رايك شنو في شوية قهوة؟,رايك شنو في شوية قهوة؟
409,4143,corpus-6-test-corpus-26-train,KHA,هل بحتاج لي تزكرة؟,,هل بحتاج لي تزكرة؟
410,4182,corpus-6-test-corpus-26-train,KHA,حوالي كم سعر الخدمة؟,,حوالي كم سعر الخدمة؟
411,4185,corpus-6-test-corpus-26-train,KHA,كم البعد من هنا؟,,كم البعد من هنا؟
412,4187,corpus-6-test-corpus-26-train,KHA,كريم و سكر؟,كريمة و سكر؟,كريمة و سكر؟
413,4193,corpus-6-test-corpus-26-train,KHA,هل عندك معدل نقصان للأعضاء؟,,هل عندك معدل نقصان للأعضاء؟
414,4219,corpus-6-test-corpus-26-train,KHA,هل هناك سوبر اكسبرس تسعة و نص؟,,هل هناك سوبر اكسبرس تسعة و نص؟
415,4221,corpus-6-test-corpus-26-train,KHA,خليني أراجع سائل الفرامل و المحرك . محركك شكله خلاص وقف.,,خليني اراجع سائل الفرامل و المحرك . محركك شكله خلاص وقف.
416,4224,corpus-6-test-corpus-26-train,KHA,ما كان غلطي.,,ما كان غلطي.
417,4262,corpus-6-test-corpus-26-train,KHA,ما في كهرباء.,,ما في كهرباء.
418,4263,corpus-6-test-corpus-26-train,KHA,ح اقيد دا للشرطة.,,حاقيد ده للشرطة.
419,4269,corpus-6-test-corpus-26-train,KHA,هل اي زول مفروض يدفع لي مشروباتو؟,,هل اي زول مفروض يدفع لي مشروباته؟
420,4275,corpus-6-test-corpus-26-train,KHA,اي محل من تلاتين لخمسين دولار لليلة.,,اي محل من ثلاثين لي خمسين دولار لليلة.
421,4278,corpus-6-test-corpus-26-train,KHA,من فضلك صلح دا.,,من فضلك صلح ده.
422,4284,corpus-6-test-corpus-26-train,KHA,في أيام رأس السنة. و في المناسبات الخاصة زي استقبال العرس، حفلات الجائزة أو العزاء.,,في ايام راس السنة. و في المناسبات الخاصة زي استقبال العرس، حفلات الجايزة او العزاء.
423,4285,corpus-6-test-corpus-26-test,KHA,خردل زيادة، من فضلك.,,خردل زيادة، من فضلك.
424,4305,corpus-6-test-corpus-26-train,KHA,لي ما تديها هدية؟,,ليه ما تديها هدية؟
425,4321,corpus-6-test-corpus-26-test,KHA,ياتو فلم انت بتزكي؟,,ياتو فلم انت بتزكي؟
426,4324,corpus-6-test-corpus-26-test,KHA,دي عشرين و اديني دولارين بقشيش، من فضلك.,,دي عشرين و اديني دولارين بقشيش، من فضلك.
427,4326,corpus-6-test-corpus-26-train,KHA,هي ضربتني بالجنبة.,,هي ضربتني بالجنبة.
428,4335,corpus-6-test-corpus-26-train,KHA,ممكن اجي عند التانية.,,ممكن اجي عند التانية.
429,4341,corpus-6-test-corpus-26-train,KHA,هل العفش دا من الرحلة جيه ايه ال صفر واحد؟,,هل العفش دا من الرحلة جيه ايه ال صفر واحد؟
430,4346,corpus-6-test-corpus-26-train,KHA,دي رحلتي الأولى لباريس.,,دي رحلتي الأولى لباريس.
431,4348,corpus-6-test-corpus-26-train,KHA,ممكن تخمن التكلفة قبل ما تبدأ الشغل فيه؟,,ممكن تخمن التكلفة قبل ما تبدأ الشغل فيه؟
432,4358,corpus-6-test-corpus-26-train,KHA,أدخل، من فضلك.,,ادخل، من فضلك.
433,4364,corpus-6-test-corpus-26-test,KHA,رحلة المشي حقتنا ح تكون متعة شديد.,,رحلة المشي حقتنا حتكون متعة شديد.
434,4365,corpus-6-test-corpus-26-train,KHA,وين نحن نركب القارب؟,,وين نحن نركب القارب؟
435,4373,corpus-6-test-corpus-26-train,KHA,ما عندنا شنطة للكمية ديك عشان كدا ح اخته في الشنطة البلاستيكية الكبيرة دي.,,ما عندنا شنطة للكمية ديك عشان كدا حاخته في الشنطة البلاستيكية الكبيرة دي.
436,4374,corpus-6-test-corpus-26-train,KHA,داير العب تنس.,,داير العب تنس.
437,4375,corpus-6-test-corpus-26-train,KHA,هناك في أناناس، برتقال و عصير طماطم.,,هناك في اناناس، برتقال و عصير طماطم.
438,4377,corpus-6-test-corpus-26-train,KHA,جانب شمالي للطابق دا، جنب المصعد.,,جانب شمالي للطابق دا، جنب المصعد.
439,4382,corpus-6-test-corpus-26-test,KHA,المشغل شنو في قاعة الموسيقى اليوم؟,,المشغل شنو في قاعة الموسيقى اليوم؟
440,4409,corpus-6-test-corpus-26-train,KHA,ما ممكن بالأحرى تشوف فلم مختلف؟,,ما ممكن بالأحرى تشوف فلم مختلف؟
441,4418,corpus-6-test-corpus-26-train,KHA,من فضلك حول شيك المسافر دا لكاش.,,من فضلك حول شيك المسافر دا لكاش.
442,4432,corpus-6-test-corpus-26-dev,KHA,داير اخد نفس الكورس بكرة، من فضلك.,,داير اخد نفس الكورس بكرة، من فضلك.
443,4450,corpus-6-test-corpus-26-train,KHA,انا من المحتمل اقدر اديك إجابة أفضل لداك بعد جوز من العروض.,,انا من المحتمل اقدر اديك اجابة افضل لداك بعد جوز من العروض.
444,4451,corpus-6-test-corpus-26-test,KHA,داير هدية لذكري سنوية.,,داير هدية لذكري سنوية.
445,4464,corpus-6-test-corpus-26-train,KHA,ياتو ملعوبة موسيقية شغالة أسى؟,,ياتو ملعوبة موسيقية شغالة اسى؟
446,4475,corpus-6-test-corpus-26-train,KHA,هل عندك مراية؟,,هل عندك مراية؟
447,4478,corpus-6-test-corpus-26-dev,KHA,أعزرني، بس انا ضيعت طريقي. ممكن تساعدني؟,,اعزرني، بس انا ضيعت طريقي. ممكن تساعدني؟
448,4479,corpus-6-test-corpus-26-train,KHA,ح اخد الواحد دا، من فضلك.,,حاخد الواحد دا، من فضلك.
449,4497,corpus-6-test-corpus-26-train,KHA,ما ممكن تجيب العاب نارية إلى كندا.,,ما ممكن تجيب العاب نارية لي كندا.
450,4501,corpus-6-test-corpus-26-train,KHA,زوجتك ما امهرها من طباخة.,,زوجتك ما امهرها من طباخة.
451,4503,corpus-6-test-corpus-26-train,KHA,داير أي مساعدة؟,,داير اي مساعدة؟
452,4505,corpus-6-test-corpus-26-train,KHA,ممكن تعمل حجز لتاكسي للسادسة صباح بكرة، من فضلك؟,,ممكن تعمل حجز لتاكسي للسادسة صباح بكرة، من فضلك؟
453,4510,corpus-6-test-corpus-26-train,KHA,داير شنو مع دخولك؟,,داير شنو مع دخولك؟
454,4540,corpus-6-test-corpus-26-test,KHA,هل هناك بوتيك حوالي هنا؟,,هل هناك بوتيك حوالي هنا؟
455,4549,corpus-6-test-corpus-26-train,KHA,المكان دا ملئ بالناس، ول لا؟,,المكان دا ملئ بالناس، ول لا؟
456,4558,corpus-6-test-corpus-26-train,KHA,معليش. ح يكونوا جاهزين في حوالي خمسة دقايق.,,معليش. حيكونوا جاهزين في حوالي خمسة دقايق.
457,4588,corpus-6-test-corpus-26-train,KHA,جاني تشنج في رقبتي أثناء النوم.,,جاني تشنج في رقبتي اثناء النوم.
458,4594,corpus-6-test-corpus-26-train,KHA,اوكي، ما مشكلة. ممكن اشوف جوازك؟,,اوكي، ما مشكلة. ممكن اشوف جوازك؟
459,4615,corpus-6-test-corpus-26-test,KHA,ما عندي اي قروش.,,ما عندي اي قروش.
460,4624,corpus-6-test-corpus-26-train,KHA,في ياتو زمن مفروض اكون في المحطة؟,,في ياتو زمن مفروض اكون في المحطة؟
461,4630,corpus-6-test-corpus-26-train,KHA,في مطاعم كتيرة حوالي هنا.,,في مطاعم كتيرة حوالي هنا.
462,4635,corpus-6-test-corpus-26-train,KHA,هو بعد غرفة الامانات.,,هو بعد غرفة الامانات.
463,4640,corpus-6-test-corpus-26-train,KHA,كلام سمح معاك.,,كلام سمح معاك.
464,4644,corpus-6-test-corpus-26-test,KHA,هل هناك رحلة سياحية بعد الظهر؟,,هل هناك رحلة سياحية بعد الظهر؟
465,4648,corpus-6-test-corpus-26-test,KHA,انا مع أصحابي.,,انا مع اصحابي.
466,4653,corpus-6-test-corpus-26-train,KHA,استمتعت بي قعدتي. شكرا.,,استمتعت بي قعدتي. شكرا.
467,4654,corpus-6-test-corpus-26-train,KHA,الشاطئ تحت، ما أجمله من منظر.,,الشاطئ تحت، ما اجمله من منظر.
468,4658,corpus-6-test-corpus-26-train,KHA,شكرا ليك للانتظار، مس مسقاير. هو هنا. اتفضلي. من فضلك.,,شكرا ليك للانتظار، مس مسقاير. هو هنا. اتفضلي. من فضلك.
469,4662,corpus-6-test-corpus-26-train,KHA,هل عندك هوية فيها صورة؟,,هل عندك هوية فيها صورة؟
470,4671,corpus-6-test-corpus-26-train,KHA,سبعة، من فضلك.,,سبعة، من فضلك.
471,4674,corpus-6-test-corpus-26-train,KHA,داير أرسل دا للمغسلة . متين ح يكون جاهز؟,,داير ارسل دا للمغسلة . متين حيكون جاهز؟
472,4685,corpus-6-test-corpus-26-train,KHA,عندي بنطلون مخطط.,,عندي بنطلون مخطط.
473,4699,corpus-6-test-corpus-26-train,KHA,اي. عفش زول تاني وصل لغرفتي قبل شوية . ممكن تراجعه، من فضلك؟,,اي. عفش زول تاني وصل لي غرفتي قبل شوية . ممكن تراجعه، من فضلك؟
474,4714,corpus-6-test-corpus-26-train,KHA,ممكن احصل عليه موضح أكتر بالتفصيل؟,,ممكن احصل عليه موضح اكثر بالتفصيل؟
475,4729,corpus-6-test-corpus-26-train,KHA,هل حصلت على نوم كويس؟,هل نمت كويس؟,هل نمت كويس؟
476,4733,corpus-6-test-corpus-26-train,KHA,ممكن تضغط زر التصوير؟,,ممكن تضغط زر التصوير؟
477,4740,corpus-6-test-corpus-26-train,KHA,مفتاحين، من فضلك.,,مفتاحين، من فضلك.
478,4742,corpus-6-test-corpus-26-dev,KHA,داير لمبة.,,داير لمبة.
479,4744,corpus-6-test-corpus-26-train,KHA,هو في نهاية الممر.,,هو في نهاية الممر.
480,4773,corpus-6-test-corpus-26-dev,KHA,داير بعض ورق الملاحظات.,,داير بعض ورق الملاحظات.
481,4788,corpus-6-test-corpus-26-train,KHA,نحن ماشين بالبص؟,,نحن ماشين بالبص؟
482,4790,corpus-6-test-corpus-26-train,KHA,انت قلت انك مغادر إلى توكيو بكرة؟,انت قلت انك ماشي لي توكيو بكرة؟,انت قلت انك ماشي لي توكيو بكرة؟
483,4795,corpus-6-test-corpus-26-test,KHA,خليني انوم لحدي الساعة تسعة.,,خليني انوم لحدي الساعة تسعة.
484,4801,corpus-6-test-corpus-26-train,KHA,مفروض احول إلى أي دبليو واحد صفر صفر. هل ممكن؟,,مفروض احول الى اي دبليو واحد صفر صفر. هل ممكن؟
485,4813,corpus-6-test-corpus-26-train,KHA,لعبتك كيف الأيام دي؟,,لعبتك كيف الأيام دي؟
486,4814,corpus-6-test-corpus-26-dev,KHA,حاسي بضيق في الصدر.,,حاسي بضيق في الصدر.
487,4826,corpus-6-test-corpus-26-train,KHA,ما مشكلة. إذا جيت في خمسة سبتمبر، ممكن تستمتع بعرض فلم علمي لأننا عندنا يوم خاص مفتوح في أول جمعة من كل شهر.,,ما مشكلة. اذا جيت في خمسة سبتمبر، ممكن تستمتع بعرض فلم علمي لأننا عندنا يوم خاص مفتوح في اول جمعة من كل شهر.
488,4828,corpus-6-test-corpus-26-train,KHA,هل عندك اي جولة تانية؟,,هل عندك اي جولة ثانية؟
489,4836,corpus-6-test-corpus-26-train,KHA,كلو تمام، خمسة في المية خصم. كدا اوكي؟,,كله تمام، خمسة في المية خصم. كده اوكي؟
490,4845,corpus-6-test-corpus-26-train,KHA,انا ماشى لي باريس.,,انا ماشى لي باريس.
491,4848,corpus-6-test-corpus-26-train,KHA,هو ما آخر موديل، ول لا؟,,هو ما آخر موديل، ولا لأ؟
492,4857,corpus-6-test-corpus-26-train,KHA,هو اتجدول لتمنية و تلاتين في المساء توقيت محلي.,,هو اتجدول لتمنية و تلاتين في المساء توقيت محلي.
493,4889,corpus-6-test-corpus-26-train,KHA,اخد المبنى داك معانا، من فضلك.,,اخد المبنى داك معانا، من فضلك.
494,4894,corpus-6-test-corpus-26-train,KHA,اوكي. ح اخد صحن مقاس متوسط و كورة رز.,,اوكي. حاخد صحن مقاس متوسط و كورة رز.
495,4901,corpus-6-test-corpus-26-train,KHA,كيف يبدو هذا؟,دا شكلو كيف؟,ده شكله كيف؟
496,4924,corpus-6-test-corpus-26-train,KHA,داير اشوف الواحد داك في النافذة، من فضلك.,داير اشوف الواحد داك في الشباك، من فضلك.,داير اشوف الواحد داك في الشباك، من فضلك.
497,4945,corpus-6-test-corpus-26-train,KHA,ماف طريقة. نحن في فاكيشن. أنا ارفض ان اقعد في غرفة فندق و أشاهد بيسبول في التلفزيون. داير أمشي أحضر مسرحية.,,ماف طريقة. نحن في فاكيشن. انا ارفض ان اقعد في غرفة فندق و اشاهد بيسبول في التلفزيون. داير امشي احضر مسرحية.
498,4957,corpus-6-test-corpus-26-train,KHA,ممكن ألمسه؟,,ممكن المسه؟
499,4974,corpus-6-test-corpus-26-train,KHA,ممكن تجي هنا عشان تصلحوا؟,,ممكن تجي هنا عشان تصلحوا؟
500,4983,corpus-6-test-corpus-26-train,KHA,داير بعض الفايبر الصناعي.,,داير بعض الفايبر الصناعي.
501,4985,corpus-6-test-corpus-26-train,KHA,اسمي تارو تاكانا. عندي حجز.,,اسمي تارو تاكانا. عندي حجز.
502,4990,corpus-6-test-corpus-26-train,KHA,داير بعض كريم التطهير.,,داير بعض كريم التطهير.
503,5004,corpus-6-test-corpus-26-train,KHA,داير بلوزة مع أكمام طويلة.,داير بلوزة بي اكمام طويلة.,داير بلوزة مع اكمام طويلة.
504,5009,corpus-6-test-corpus-26-train,KHA,اتسرقت مني شنطتي.,,اتسرقت مني شنطتي.
505,5017,corpus-6-test-corpus-26-train,KHA,طرقاتنا شكلها بتتعارض مرات كتيرة. ول لا؟,,طرقاتنا شكلها بتتعارض مرات كثيرة. ولا لأ؟
506,5035,corpus-6-test-corpus-26-train,KHA,ممكن اشوف القائمة تاني؟,,ممكن اشوف القائمة ثاني؟
507,5045,corpus-6-test-corpus-26-train,KHA,هم لسة بظهروا خضر شوية.,,هم لسا بظهروا خضر شوية.
508,5082,corpus-6-test-corpus-26-train,KHA,كم عدد؟,,كم عدد؟
509,5083,corpus-6-test-corpus-26-train,KHA,فراولة، من فضلك.,,فراولة، من فضلك.
510,5090,corpus-6-test-corpus-26-dev,KHA,جبل فوجي هو أعلى قمة يابانية عند تلاتة ألف و سبعمية ستة وسبعين متر.,جبل فوجي هو أعلى قمة يابانية عند تلاتة ألف و سبعمية ستة وسبعين متر.,جبل فوجي هو اعلى قمة يابانية عند ثلاثة الف و سبعمية ستة وسبعين متر.
511,5091,corpus-6-test-corpus-26-train,KHA,لا، لسة. في كمية تختار منهم.,,لأ، لسا. في كمية تختار منهم.
512,5098,corpus-6-test-corpus-26-dev,KHA,داير بعض كريم الليل.,داير شوية كريم الليل.,داير شوية كريم الليل.
513,5104,corpus-6-test-corpus-26-test,KHA,إنه بين المخبز و دكان الجزار.,هو بين المخبز و دكان الجزار.,هو بين المخبز و دكان الجزار.
514,5116,corpus-6-test-corpus-26-train,KHA,ممكن تقصر الأكمام؟,,ممكن تقصر الأكمام؟
515,5117,corpus-6-test-corpus-26-train,KHA,آسف ما في ملعب قولف قريب هنا.,,آسف ما في ملعب قولف قريب هنا.
516,5121,corpus-6-test-corpus-26-train,KHA,ممكن توريني الخاتم التاني من الشمال؟,,ممكن توريني الخاتم الثاني من الشمال؟
517,5124,corpus-6-test-corpus-26-train,KHA,ممكن تطلب منه يتصل علي؟,,ممكن تطلب منه يتصل علي؟
518,5138,corpus-6-test-corpus-26-train,KHA,حاولت اعمل مكالمة دولية؟,,حاولت اعمل مكالمة دولية؟
519,5148,corpus-6-test-corpus-26-test,KHA,دا غلط.,,ده غلط.
