,sent,CODA
327,هل في سينما قريبة من هنا,هل في سينما قريبة من هنا
328,الان موسم المحار ف ح يكونوا كويسين,الان موسم المحار فحيكونوا كويسين
329,داير مع ساعة يد تانية,داير مع ساعة يد تانية
330,ح اراجع حوالي الساعة تسعة في المساء,حاراجع حوالي الساعة تسعة في المسا
331,انا متأخر مفروض اكون ماشى,انا متأخر مفروض اكون ماشي
332,انا ما استعملت خدمة الغسيل بتاعتك ح تراجع دا تاني,انا ما استعملت خدمة الغسيل بتاعتك حتراجع ده تاني
333,داير شاي من فضلك,داير شاي من فضلك
334,لا ما في هناك,لا ما في هناك
335,هل دا آخر استوب,هل ده آخر استوب
336,خلينا نتصل بيه,خلينا نتصل بيه
337,هل الاسبايسي دا سخن,هل الاسبايسي ده سخن
338,وين ممكن القى بص لمعالم المدينة,وين ممكن القى بص لي معالم المدينة
339,نعم انا داير اشوف المدينة,نعم انا داير اشوف المدينة
340,في كم سواح حول المبنى شكلهم اتجمعوا عشان يشوفوا الحاصل شنو,هناك كم سواح حول المبنى شكلهم اتجمعوا عشان يشوفوا الحاصل شنو
341,شكرا ليك على ضيافتك,شكرا ليك على ضيافتك
342,الأمانة افضل سياسة,الأمانة افضل سياسة
343,ممكن تصحيني الساعة ستة من فضلك,ممكن تصحيني الساعة ستة من فضلك
344,بتكلف كم لي نص يوم,بتكلف كم لي نص يوم
345,انا كنجي,انا كنجي
346,هل بتعرف اي اماكن جيدة للرؤية في شيكاغو,هل بتعرف اي اماكن جيدة للرؤية في شيكاغو
347,طيب اذا انتو الاتنين مصرين ح امشي معاكم,طيب اذا انتو الاثنين مصرين حامشي معاكم
348,ممكن تبدل دي لي واحدة تانية من نفس النوع من فضلك,ممكن تبدل دي لي واحدة تانية من نفس النوع من فضلك
349,داير اعمل حجز لتلاتة و نص بعد الظهر,داير اعمل حجز لي ثلاثة و نص بعد الظهر
350,صندوق الأمان من فضلك,صندوق الأمان من فضلك
351,من فضلك شيل خمرة مناسبة,من فضلك شيل خمرة مناسبة
352,داير محل صغير,داير محل صغير
353,هل مفروض ادفع للبنزين,هل مفروض ادفع للبنزين
354,حرامي اقبضه,حرامي اقبضه
355,نحن منتظرين اصحابنا يجوا,نحن منتظرين اصحابنا يجوا
356,من فضلك اديني شوية الفكه,من فضلك اديني شوية الفكة
357,كيرلي ضيق من فضلك,كيرلي ضيق من فضلك
358,هي رشيقة و لطيفة,هي رشيقة و لطيفة
359,اوبرت الليلة شنو,اوبرة الليلة شنو
360,مقلي من فضلك,مقلي من فضلك
361,غسيلي ما اترجع لسة,غسيلي ما اترجع لسا
362,بالمناسبة انت فاضي السبت الجاي دا,بالمناسبة انت فاضي السبت الجاي ده
363,طيب احتمال نحن ح نكون كويسين لفترة طويلة معا,طيب احتمال نحن حنكون كويسين لفترة طويلة معا
364,هي بتعاملني زي لو كنت شحاد,هي بتعاملني زي لو كنت شحاد
365,انا شايف برضه ممكن تساعدني في مشكلة تانية,انا شايف برضو ممكن تساعدني في مشكلة ثانية
366,ممكن تخت عدسات طبية في النظارات الشمسية دي,ممكن تخت عدسات طبية في النظارات الشمسية دي
367,ح اخد اتنين من ديل,حاخد اثنين من ديل
368,ما الطف الكلاب دي ياتو فصيلة,ما الطف الكلاب دي ياتو فصيلة
369,وقعت مفراكتي من فضلك جيب واحدة تانية,وقعت مفراكتي من فضلك جيب واحدة ثانية
370,داك كان ظريف,داك كان ظريف
371,اكيد امشي دغري و لف يمين عند الكورنة التالتة ح تلقاه على يمينك,اكيد امشي دغري و لف يمين عند الكورنة الثالثة حتلقاه على يمينك
372,هل عندك بعض الفلم لاسلايدات ملونة,هل عندك بعض الفلم لاسلايدات ملونة
373,هل ب تعرف كاثي الليلة عيد ميلادها,هل بتعرف كاثي الليلة عيد ميلادها
374,هل عندك مخطط ملون,هل عندك مخطط ملون
375,ممكن ادفع بشيك سياحي,ممكن ادفع بي شيك سياحي
376,لكن هو راجل كيف اعرف داك الشئ الحقيقي,لكن هو راجل كيف اعرف داك الشي الحقيقي
377,ممكن احصل عليه خالي من الضرائب,ممكن احصل عليه خالي من الضرائب
378,ما قادر اخت عفشي تحت المقعد ممكن تمسكوا لي من فضلك,ما قادر اخت عفشي تحت المقعد ممكن تمسكوا لي من فضلك
379,ممكن من فضلك تخت الشنطة دي في شنطة العربية,ممكن من فضلك تخت الشنطة دي في شنطة العربية
380,انا طالع اسى عشان كدا ح ارفعه,انا طالع هسي عشان كده حارفعه
381,من فضلك رسل زول فوق لي شنطي الساعة ستة و نص,من فضلك رسل زول فوق لي شنطي الساعة ستة و نص
382,داير خريطة سان فرانسيسكو و المنطقة المحيطة,داير خريطة سان فرانسيسكو و المنطقة المحيطة
383,ياتو نوع من العيش عندك,ياتو نوع من العيش عندك
384,وين المصعد,وين المصعد
385,في هناك اي زول بلعب البيانو,في هناك اي زول بلعب البيانو
386,في ياتو محطة مفروض انزل عشان امشي لي امبير استيت بلدنق,في ياتو محطة مفروض انزل عشان امشي لي امبير استيت بلدنق
387,الميزانية تحت الف دولار,الميزانية تحت الف دولار
388,شكرا ليك لكن ما اظن عندي زمن اقعد ليلتين ممكن تحجز لي غرفة مزدوجة في الفندق داك لليلة اتناشر مارس بس,شكرا ليك لكن ما اظن عندي زمن اقعد ليلتين ممكن تحجز لي غرفة مزدوجة في الفندق داك لليلة اثنعشر مارس بس
389,ممكن احجز غرفة دبل بتطل على المحيط,ممكن احجز غرفة دبل بتطل على المحيط
390,ما قررنا لسة,ما قررنا لسا
391,صحبي اتعتر و لوا كاحله,صحبي اتعتر و لوى كاحله
392,ح اجرب شوية عصير,حاجرب شوية عصير
393,هل هناك كافيتريا تايلندية قريبة,هل هناك كافيتريا ثايلندية قريبة
394,هو جنب المبنى داك عشان كدا ارجع بنفس الشارع الجيت بيه لغاية الإشارة بعد داك لف للشمال,هو جنب المبنى داك عشان كده ارجع بنفس الشارع الجيت بيه لغاية الإشارة بعد داك لف للشمال
395,مفروض احصل طيارة لي لوس انجلس بدري صباح بكرة,مفروض احصل طيارة لي لوس انجلس بدري صباح بكرة
396,"ثم انا ممكن بوثوق ازكى ""جولة مدينة سان فرانسيسكو""دي دي بتعرفك الخطوط العريضة لسان فرانسيسكو","ثم انا ممكن بوثوق ازكى ""جولة مدينة سان فرانسيسكو""دي دي بتعرفك الخطوط العريضة لسان فرانسيسكو"
397,داير احصل على تأمين,داير احصل على تأمين
398,خلينا نخت كمادة باردة لتخفيف الألم,خلينا نخت كمادة باردة لتخفيف الألم
399,دايرة تشتري فستان,دايرة تشتري فستان
400,كم التكسي للفندق دا,كم التكسي للفندق ده
401,وين المرحاض,وين المرحاض
402,هل بتكلف اي حاجة عشان ادخل المبنى دا,هل بتكلف اي حاجة عشان ادخل المبنى ده
403,اخدها في طريقك,اخدها في طريقك
404,بفتش في شي متانق,بفتش في شي متانق
405,الشباك اتسد,الشباك اتسد
406,في ياتو جانب من يونين اسكوير هو,في ياتو جانب من يونين اسكوير هو
407,نص اوقية من جانل رقم خمسة من فضلك,نص اوقية من جانل رقم خمسة من فضلك
408,رايك شنو في شوية قهوة,رايك شنو في شوية قهوة
409,هل بحتاج لي تزكرة,هل بحتاج لي تزكرة
410,حوالي كم سعر الخدمة,حوالي كم سعر الخدمة
411,كم البعد من هنا,كم البعد من هنا
412,كريمة و سكر,كريمة و سكر
413,هل عندك معدل نقصان للأعضاء,هل عندك معدل نقصان للأعضاء
414,هل هناك سوبر اكسبرس تسعة و نص,هل هناك سوبر اكسبرس تسعة و نص
415,خليني اراجع سائل الفرامل و المحرك  محركك شكله خلاص وقف,خليني اراجع سائل الفرامل و المحرك  محركك شكله خلاص وقف
416,ما كان غلطي,ما كان غلطي
417,ما في كهرباء,ما في كهرباء
418,ح اقيد دا للشرطة,حاقيد ده للشرطة
419,هل اي زول مفروض يدفع لي مشروباتو,هل اي زول مفروض يدفع لي مشروباته
420,اي محل من تلاتين لخمسين دولار لليلة,اي محل من ثلاثين لي خمسين دولار لليلة
421,من فضلك صلح دا,من فضلك صلح ده
422,في ايام رأس السنة و في المناسبات الخاصة زي استقبال العرس حفلات الجائزة او العزاء,في ايام راس السنة و في المناسبات الخاصة زي استقبال العرس حفلات الجايزة او العزاء
423,خردل زيادة من فضلك,خردل زيادة من فضلك
424,لي ما تديها هدية,ليه ما تديها هدية
425,ياتو فلم انت بتزكي,ياتو فلم انت بتزكي
426,دي عشرين و اديني دولارين بقشيش من فضلك,دي عشرين و اديني دولارين بقشيش من فضلك
427,هي ضربتني بالجنبة,هي ضربتني بالجنبة
428,ممكن اجي عند التانية,ممكن اجي عند التانية
429,هل العفش دا من الرحلة جيه ايه ال صفر واحد,هل العفش دا من الرحلة جيه ايه ال صفر واحد
430,دي رحلتي الأولى لباريس,دي رحلتي الأولى لباريس
431,ممكن تخمن التكلفة قبل ما تبدأ الشغل فيه,ممكن تخمن التكلفة قبل ما تبدأ الشغل فيه
432,ادخل من فضلك,ادخل من فضلك
433,رحلة المشي حقتنا ح تكون متعة شديد,رحلة المشي حقتنا حتكون متعة شديد
434,وين نحن نركب القارب,وين نحن نركب القارب
435,ما عندنا شنطة للكمية ديك عشان كدا ح اخته في الشنطة البلاستيكية الكبيرة دي,ما عندنا شنطة للكمية ديك عشان كدا حاخته في الشنطة البلاستيكية الكبيرة دي
436,داير العب تنس,داير العب تنس
437,هناك في اناناس برتقال و عصير طماطم,هناك في اناناس برتقال و عصير طماطم
438,جانب شمالي للطابق دا جنب المصعد,جانب شمالي للطابق دا جنب المصعد
439,المشغل شنو في قاعة الموسيقى اليوم,المشغل شنو في قاعة الموسيقى اليوم
440,ما ممكن بالأحرى تشوف فلم مختلف,ما ممكن بالأحرى تشوف فلم مختلف
441,من فضلك حول شيك المسافر دا لكاش,من فضلك حول شيك المسافر دا لكاش
442,داير اخد نفس الكورس بكرة من فضلك,داير اخد نفس الكورس بكرة من فضلك
443,انا من المحتمل اقدر اديك اجابة افضل لداك بعد جوز من العروض,انا من المحتمل اقدر اديك اجابة افضل لداك بعد جوز من العروض
444,داير هدية لذكري سنوية,داير هدية لذكري سنوية
445,ياتو ملعوبة موسيقية شغالة اسى,ياتو ملعوبة موسيقية شغالة اسى
446,هل عندك مراية,هل عندك مراية
447,اعزرني بس انا ضيعت طريقي ممكن تساعدني,اعزرني بس انا ضيعت طريقي ممكن تساعدني
448,ح اخد الواحد دا من فضلك,حاخد الواحد دا من فضلك
449,ما ممكن تجيب العاب نارية الى كندا,ما ممكن تجيب العاب نارية لي كندا
450,زوجتك ما امهرها من طباخة,زوجتك ما امهرها من طباخة
451,داير اي مساعدة,داير اي مساعدة
452,ممكن تعمل حجز لتاكسي للسادسة صباح بكرة من فضلك,ممكن تعمل حجز لتاكسي للسادسة صباح بكرة من فضلك
453,داير شنو مع دخولك,داير شنو مع دخولك
454,هل هناك بوتيك حوالي هنا,هل هناك بوتيك حوالي هنا
455,المكان دا ملئ بالناس ول لا,المكان دا ملئ بالناس ول لا
456,معليش ح يكونوا جاهزين في حوالي خمسة دقايق,معليش حيكونوا جاهزين في حوالي خمسة دقايق
457,جاني تشنج في رقبتي اثناء النوم,جاني تشنج في رقبتي اثناء النوم
458,اوكي ما مشكلة ممكن اشوف جوازك,اوكي ما مشكلة ممكن اشوف جوازك
459,ما عندي اي قروش,ما عندي اي قروش
460,في ياتو زمن مفروض اكون في المحطة,في ياتو زمن مفروض اكون في المحطة
461,في مطاعم كتيرة حوالي هنا,في مطاعم كتيرة حوالي هنا
462,هو بعد غرفة الامانات,هو بعد غرفة الامانات
463,كلام سمح معاك,كلام سمح معاك
464,هل هناك رحلة سياحية بعد الظهر,هل هناك رحلة سياحية بعد الظهر
465,انا مع اصحابي,انا مع اصحابي
466,استمتعت بي قعدتي شكرا,استمتعت بي قعدتي شكرا
467,الشاطئ تحت ما اجمله من منظر,الشاطئ تحت ما اجمله من منظر
468,شكرا ليك للانتظار مس مسقاير هو هنا اتفضلي من فضلك,شكرا ليك للانتظار مس مسقاير هو هنا اتفضلي من فضلك
469,هل عندك هوية فيها صورة,هل عندك هوية فيها صورة
470,سبعة من فضلك,سبعة من فضلك
471,داير ارسل دا للمغسلة  متين ح يكون جاهز,داير ارسل دا للمغسلة  متين حيكون جاهز
472,عندي بنطلون مخطط,عندي بنطلون مخطط
473,اي عفش زول تاني وصل لغرفتي قبل شوية  ممكن تراجعه من فضلك,اي عفش زول تاني وصل لي غرفتي قبل شوية  ممكن تراجعه من فضلك
474,ممكن احصل عليه موضح اكتر بالتفصيل,ممكن احصل عليه موضح اكثر بالتفصيل
475,هل نمت كويس,هل نمت كويس
476,ممكن تضغط زر التصوير,ممكن تضغط زر التصوير
477,مفتاحين من فضلك,مفتاحين من فضلك
478,داير لمبة,داير لمبة
479,هو في نهاية الممر,هو في نهاية الممر
480,داير بعض ورق الملاحظات,داير بعض ورق الملاحظات
481,نحن ماشين بالبص,نحن ماشين بالبص
482,انت قلت انك ماشي لي توكيو بكرة,انت قلت انك ماشي لي توكيو بكرة
483,خليني انوم لحدي الساعة تسعة,خليني انوم لحدي الساعة تسعة
484,مفروض احول الى اي دبليو واحد صفر صفر هل ممكن,مفروض احول الى اي دبليو واحد صفر صفر هل ممكن
485,لعبتك كيف الأيام دي,لعبتك كيف الأيام دي
486,حاسي بضيق في الصدر,حاسي بضيق في الصدر
487,ما مشكلة اذا جيت في خمسة سبتمبر ممكن تستمتع بعرض فلم علمي لأننا عندنا يوم خاص مفتوح في اول جمعة من كل شهر,ما مشكلة اذا جيت في خمسة سبتمبر ممكن تستمتع بعرض فلم علمي لأننا عندنا يوم خاص مفتوح في اول جمعة من كل شهر
488,هل عندك اي جولة تانية,هل عندك اي جولة ثانية
489,كلو تمام خمسة في المية خصم كدا اوكي,كله تمام خمسة في المية خصم كده اوكي
490,انا ماشى لي باريس,انا ماشى لي باريس
491,هو ما آخر موديل ول لا,هو ما آخر موديل ولا لأ
492,هو اتجدول لتمنية و تلاتين في المساء توقيت محلي,هو اتجدول لتمنية و تلاتين في المساء توقيت محلي
493,اخد المبنى داك معانا من فضلك,اخد المبنى داك معانا من فضلك
494,اوكي ح اخد صحن مقاس متوسط و كورة رز,اوكي حاخد صحن مقاس متوسط و كورة رز
495,دا شكلو كيف,ده شكله كيف
496,داير اشوف الواحد داك في الشباك من فضلك,داير اشوف الواحد داك في الشباك من فضلك
497,ماف طريقة نحن في فاكيشن انا ارفض ان اقعد في غرفة فندق و اشاهد بيسبول في التلفزيون داير امشي احضر مسرحية,ماف طريقة نحن في فاكيشن انا ارفض ان اقعد في غرفة فندق و اشاهد بيسبول في التلفزيون داير امشي احضر مسرحية
498,ممكن المسه,ممكن المسه
499,ممكن تجي هنا عشان تصلحوا,ممكن تجي هنا عشان تصلحوا
500,داير بعض الفايبر الصناعي,داير بعض الفايبر الصناعي
501,اسمي تارو تاكانا عندي حجز,اسمي تارو تاكانا عندي حجز
502,داير بعض كريم التطهير,داير بعض كريم التطهير
503,داير بلوزة بي اكمام طويلة,داير بلوزة مع اكمام طويلة
504,اتسرقت مني شنطتي,اتسرقت مني شنطتي
505,طرقاتنا شكلها بتتعارض مرات كتيرة ول لا,طرقاتنا شكلها بتتعارض مرات كثيرة ولا لأ
506,ممكن اشوف القائمة تاني,ممكن اشوف القائمة ثاني
507,هم لسة بظهروا خضر شوية,هم لسا بظهروا خضر شوية
508,كم عدد,كم عدد
509,فراولة من فضلك,فراولة من فضلك
510,جبل فوجي هو اعلى قمة يابانية عند تلاتة الف و سبعمية ستة وسبعين متر,جبل فوجي هو اعلى قمة يابانية عند ثلاثة الف و سبعمية ستة وسبعين متر
511,لا لسة في كمية تختار منهم,لأ لسا في كمية تختار منهم
512,داير شوية كريم الليل,داير شوية كريم الليل
513,هو بين المخبز و دكان الجزار,هو بين المخبز و دكان الجزار
514,ممكن تقصر الأكمام,ممكن تقصر الأكمام
515,آسف ما في ملعب قولف قريب هنا,آسف ما في ملعب قولف قريب هنا
516,ممكن توريني الخاتم التاني من الشمال,ممكن توريني الخاتم الثاني من الشمال
517,ممكن تطلب منه يتصل علي,ممكن تطلب منه يتصل علي
518,حاولت اعمل مكالمة دولية,حاولت اعمل مكالمة دولية
519,دا غلط,ده غلط
520,نعم دا هو لأنك ممكن تشوف العلم قدام مكتب البريد,نعم ده هو لأنك ممكن تشوف العلم قدام مكتب البريد
521,انت بالتأكيد ح ترسلهم صاح,انت بالتأكيد حترسلهم صاح
522,داير اعمل مكالمة هاتفية بي كردت كارد,داير اعمل مكالمة هاتفية بي كردت كارد
523,داير حقي يمشي,داير حقي يمشي
524,لمن يصل ح ندفع عشان نشحنوا لي عنوان بيتك,لمن يصل حندفع عشان نشحنوا لي عنوان بيتك
525,الايام دي دائما بستخدم كمبيوتر في الشغل, الايام دي دايما بستخدم كمبيوتر في الشغل
526,اوه اوكي فهمت ح اجي لي محلك,اوه اوكي فهمت حأجي لي محلك
527,لا داك كفاية,لأ داك كفاية
528,ممكن اخد بطانية و مخدة,ممكن اخد بطانية و مخدة
529,ممكن تجي هنا بسرعة قدر الإمكان من فضلك,ممكن تجي هنا بسرعة قدر الإمكان من فضلك
530,كباية قهوة من فضلك,كباية قهوة من فضلك
531,بفتش لي بعض البطاقات الهواوية نموذجيا,بفتش لي بعض البطاقات الهواوية نموذجيا
532,ممكن تضيق الخصر تلاتة سنتيمترات,ممكن تضيق الخصر ثلاثة سنتيمترات
533,انا نفس العمر,انا نفس العمر
534,ح تجيب لي قهوة,حتجيب لي قهوة
535,تلتمية و خمسين دولار داك فوق ميزانيتي,ثلثمية و خمسين دولار داك فوق ميزانيتي
536,هل نحن محتاجين نخت دا في تصويت اذا لا اعتقد انو وصلنا لي خاتمة ال ح ارسلها لمجلس ادارتنا صباح بكرة,هل نحن محتاجين نخت ده في تصويت اذا لأ اعتقد انو وصلنا لي خاتمة الحأرسلها لي مجلس ادارتنا صباح بكرة
537,هل تعرف اذا كان هناك اي فنادق رخيصة,هل تعرف اذا كان هناك اي فنادق رخيصة
538,صباح الخير هل نمت كويس,صباح الخير هل نمت كويس
539,ناوي تسوي شنو بعد ما تنتهي المدرسة,ناوي تسوي شنو بعد ما تنتهي المدرسة
540,اتسرقت في شنطة الكتف بتاعتي في الشارع,اتسرقت في شنطة الكتف بتاعتي في الشارع
541,هل عندك اي خدمات تانية غير الفطور الصباح دا,هل عندك اي خدمات ثانية غير الفطور الصباح ده
542,داير كباية قهوة بيضاء من فضلك,داير كباية قهوة بيضاء من فضلك
543,اوكي هل فندق الشيراتون حوالي هنا,اوكي هل فندق الشيراتون حوالي هنا
544,اتمنى انك ما تعبان شديد,اتمنى انك ما تعبان شديد
545,داير اأجر عربية من النوع دا لي يومين,داير اأجر عربية من النوع ده لي يومين
546,ح آخد لقطة بتاعت جاك دانيلس,حاخد لقطة بتاعت جاك دانيلس
547,ح اخد كيس فشار من فضلك,حاخد كيس فشار من فضلك
548,انا وقعت عصاية تزلج,انا وقعت عصاية تزلج
549,نحن ما بنجيب هدايا للاستقبال كبديل الضيوف بجيبوا كاش,نحن ما بنجيب هدايا للاستقبال كبديل الضيوف بجيبوا كاش
550,داير ارسله بالبريد البري او البحري,داير ارسله بالبريد البري او البحري
551,الطيارة وصلت متأخرة بسبب الثلج الثقيل,الطيارة وصلت متأخرة بسبب الثلج الثقيل
552,اشحن من فضلك,اشحن من فضلك
553,ممكن تاخد رسالة من فضلك,ممكن تاخد رسالة من فضلك
554,سوري ما قادر اتابعك ممكن تتكلم ابطأ شوية من فضلك,سوري ما قادر اتابعك ممكن تتكلم ابطأ شوية من فضلك
555,ممكن اوريك شنو,ممكن اوريك شنو
556,ممكن اخد صور,ممكن اخد صور
557,خارج المئة,خارج المية
558,رقم الرحلة اتش بي تسعة وتمانين لي طوكيو في حدعشر مارس,رقم الرحلة اتش بي تسعة وثمانين لي طوكيو في حدعشر مارس
559,ممكن اخد نفس الصحن زي داك,ممكن اخد نفس الصحن زي داك
560,هل عندك واحد تاني,هل عندك واحد ثاني
561,من فضلك جيب فطوري لي غرفتي سبعة صباح بكرة,من فضلك جيب فطوري لي غرفتي سبعة صباح بكرة
562,زول الصيانة ح يجي قريب,زول الصيانة حيجي قريب
563,انا اسف ح اجي راجع بعدين,انا آسف حأجي راجع بعدين
564,كيف ممكن اخده,كيف ممكن اخده
565,هل هناك اي شواغر في جولة الخميس,هل هناك اي شواغر في جولة الخميس
566,اعذرني  ممكن امر,اعذرني  ممكن امر
567,هل عندك اي نبتات و فواكه,هل عندك اي نبتات و فواكه
568,من فضلك وريني كيف املأ بطاقة النزول,من فضلك وريني كيف املأ بطاقة النزول
569,اعتقد انو عربيتي بتستحق حوالي خمسة الف دولار,اعتقد انو عربيتي بتستحق حوالي خمسة الف دولار
570,هل الأكل دا منخفض في السعرات الحرارية,هل الأكل ده منخفض في السعرات الحرارية
571,ياتو بص مفروض اخد عشان امشي المحطة,ياتو بص مفروض اخد عشان امشي المحطة
572,نعم دا هو لكن لازم تلف شمال في الإشارة التالتة و تبقى في الشارع داك لغاية تجي لي شارع ستة وستين,نعم ده هو لكن لازم تلف شمال في الإشارة الثالثة و تبقى في الشارع داك لغاية تجي لي شارع ستة وستين
573,داير كباية موية عشان اخد دواء من فضلك,داير كباية موية عشان اخد دواء من فضلك
574,ح اكون ملتزم شديد اذا اخدتني معاك للشاطي,حاكون ملتزم شديد اذا اخدتني معاك للشاطي
575,انا آسف عندك الرقم غلط دي تانكيوشا بريس,انا آسف عندك الرقم غلط دي تانكيوشا بريس
576,بنغادر,بنغادر
577,دي موسيقة شنو,دي موسيقة شنو
578,من فضلك ادى العصير دا لي طفلك مقاس واحد بعد كل وجبة,من فضلك ادى العصير ده لي طفلك مقاس واحد بعد كل وجبة
579,الاستايل متوفر في المقاسات تمنية وعشرين واحد وتلاتين و خمسة وتلاتين سنتيمتر ,الاستايل متوفر في المقاسات ثمانية وعشرين واحد وثلاثين و خمسة وثلاثين سنتيمتر 
580,اوه داك شكله كثير,اوه داك شكله كثير
581,ممكن استخدم تلفونك,ممكن استخدم تلفونك
582,داك ريحتو حلوة كم سعره,داك ريحته حلوة كم سعره
583,داير اأكد رحلتي لشيكاغو يوم سبعتاشر,داير اأكد رحلتي لي شيكاغو يوم سبعتعشر
584,انا اكلت شوية اكتر من اللازم,انا اكلت شوية اكثر من اللازم
585,ممكن اتكلم مع مس براون,ممكن اتكلم مع مس براون
586,البيت دا شكلو المعيشه فيهو مريحة ول لا,البيت ده شكله المعيشة فيه مريحة ولا لأ
587,داير اعمل حجز في نورث ويست رحلة صفر تمانية ستة يوم خمسة,داير اعمل حجز في نورث ويست رحلة صفر ثمانية ستة يوم خمسة
588,محفظتي جوازي,محفظتي جوازي
589,متين بتقفل,متين بتقفل
590,انتظر دقيقة احتمال انا خليته في الحمام,انتظر دقيقة احتمال انا خليته في الحمام
591,داك نفس الكنت ح اقولوا,داك نفس الكنت حاقوله
592,نعم اظن كدا,نعم اظن كده
593,بيتك كبير كم غرفة,بيتك كبير كم غرفة
594,استمتعنا بالعشاء,استمتعنا بالعشاء
595,انا فهمت بس ما بقدر اقوله,انا فهمت بس ما بقدر اقوله
596,اوه نعم من فضلك بس انا بتمنى ما يصيبهم دوار البحر,اوه نعم من فضلك بس انا بتمنى ما يصيبهم دوار البحر
597,لي طوكيو من فضلك,لي طوكيو من فضلك
598,زمن الوصول المتوقع حقنا شنو,زمن الوصول المتوقع حقنا شنو
599,انا مغادر بدري بكرة عشان كده داير ادفع اسى,انا مغادر بدري بكرة عشان كده داير ادفع اسي
600,دراي شيري من فضلك,دراي شيري من فضلك
601,مقعد لغير المدخنين من فضلك,مقعد لغير المدخنين من فضلك
602,هو مشغول الآن,هو مشغول الآن
603,هل ممكن للأجانب الوصول للكتب في المكتبة دي,هل ممكن للأجانب الوصول للكتب في المكتبة دي
604,هل ممكن اقعد في غرفتي لغاية اتنين بعد الظهر,هل ممكن اقعد في غرفتي لغاية اثنين بعد الظهر
605,ها-ها صباح الخير وقتك اوكي,ها-ها صباح الخير وقتك اوكي
606,داير فيلم من رقم ال ايه اس ايه ده للكاميرا دي من فضلك,داير فيلم من رقم ال ايه اس ايه ده للكاميرا دي من فضلك
607,وين دهانات مونت,وين دهانات مونت
608,البيتزا دي لذيذة العملها منو,البيتزا دي لذيذة العملها منو
609,الصحن دا طعمه كيف,الصحن ده طعمه كيف
610,برضه هم غالين,برضو هم غالين
611,متين بغادر القطر التالي لي بوسطن,متين بغادر القطر التالي لي بوسطن
612,انا مخطط اتعلم القولف,انا مخطط اتعلم القولف
613,من فضلك اديني مشروب تاني,من فضلك اديني مشروب ثاني
614,راكب الموج ده جيد جدا,راكب الموج ده جيد جدا
615,آسف الأكمام قصيرة جدا,آسف الأكمام قصيرة جدا
616,ممكن توريني كيف اخت البنزين,ممكن توريني كيف اخت البنزين
617,هل رسوم الفندق بتشمل الفطور,هل رسوم الفندق بتشمل الفطور
618,هل دا كل شي,هل ده كل شي
619,هو في الطريق دا,هو في الطريق ده
620,من فضلك ابدا العداد,من فضلك ابدا العداد
621,غرفتي باردة شديد,غرفتي باردة شديد
622,ح ارجع ليك لمن نكون مشغولين اقل,حارجع ليك لمن نكون مشغولين اقل
623,هل عندك واحد اكبر,هل عندك واحد اكبر
624,شاعر بي تحسن,شاعر بي تحسن
625,هل انت متالف مع جغرافية اليابان,هل انت متالف مع جغرافية اليابان
626,من فضلك توريني لمن اكون في الخريطة دي,من فضلك توريني لمن اكون في الخريطة دي
627,مئة في المئة قطن,مية في المية قطن
628,داير ابدل لي غرفة مطلة على المحيط هل هناك اي مصاريف اضافية,داير ابدل لي غرفة مطلة على المحيط هل هناك اي مصاريف اضافية
629,كم سعر اجار لوحة نص يوم,كم سعر اجار لوحة نص يوم
630,عشرة نوفمبر,عشرة نوفمبر
631,داير شريط آلة طباعة,داير شريط آلة طباعة
632,انه طاعم جدا,انه طاعم جدا
633,نحن ماشين متين,نحن ماشين متين
634,كيف بتخلي السواق يعرف لم تكون داير تنزل,كيف بتخلي السواق يعرف لم تكون داير تنزل
635,اربعة وعشرين دولار  داير زيادة,اربعة وعشرين دولار  داير زيادة
636,عملت حجز في طوكيو قبل شهر,عملت حجز في طوكيو قبل شهر
637,اشكرك من اعماق قلبي,اشكرك من اعماق قلبي
638,هل انزل هنا للروكتفلر سنتر,هل انزل هنا للروكتفلر سنتر
639,من فضلك قيس مقاس جزمتي,من فضلك قيس مقاس جزمتي
640,هو روعة,هو روعة
641,ممكن تطلع معاي في موعد,ممكن تطلع معاي في موعد
642,من فضلك نضف الجاكيت دا,من فضلك نضف الجاكيت ده
643,داير اأجر مركب بي محرك,داير اأجر مركب بي محرك
644,وين قسم السيدات,وين قسم السيدات
645,خالي قهوة,خالي قهوة
646,في اي مجال كان هو,في أي مجال كان هو
647,العنة العنة العنة العنة اتعودت على وشها,العنة العنة العنة العنة اتعودت على وشها
648,هل مفروض ادفع الرسوم لم ادخل المبنى,هل مفروض ادفع الرسوم لم ادخل المبنى
649,اهلا الطرف التاني في الخط اتفضل من فضلك,اهلا الطرف الثاني في الخط اتفضل من فضلك
650,جروحي بتألم,جروحي بتألم
651,وين المحطة,وين المحطة
652,عندي قشعريرة,عندي قشعريرة
653,تلاتة ايام,ثلاثة ايام
654,اعبر الجسر هناك و ح تلقى المكتبة على جانب يدك الشمال,اعبر الجسر هناك و حتلقى المكتبة على جانب يدك الشمال
655,من فضلك ساعدني القى دليل كلام ياباني,من فضلك ساعدني القى دليل كلام ياباني
656,ما داير واحد كبير,ما داير واحد كبير
657,ح يكون هناك تأخير طفيف,حيكون هناك تأخير طفيف
658,الفرق شنو بين الفنادق دي,الفرق شنو بين الفنادق دي
659,فوت استوبي,فوت استوبي
