,raw,coda
2003,دا,ده
2004,اخدها,اخدها
2005,في,في
2006,طريقك,طريقك
2007,بفتش,بفتش
2008,في,في
2009,شي,شي
2010,متانق,متانق
2011,الشباك,الشباك
2012,اتسد,اتسد
2013,في,في
2014,ياتو,ياتو
2015,جانب,جانب
2016,من,من
2017,يونين,يونين
2018,اسكوير,اسكوير
2019,هو,هو
2020,نص,نص
2021,اوقية,اوقية
2022,من,من
2023,جانل,جانل
2024,رقم,رقم
2025,خمسة,خمسة
2026,من,من
2027,فضلك,فضلك
2028,رايك,رايك
2029,شنو,شنو
2030,في,في
2031,شوية,شوية
2032,قهوة,قهوة
2033,هل,هل
2034,بحتاج,بحتاج
2035,لي,لي
2036,تزكرة,تزكرة
2037,حوالي,حوالي
2038,كم,كم
2039,سعر,سعر
2040,الخدمة,الخدمة
2041,كم,كم
2042,البعد,البعد
2043,من,من
2044,هنا,هنا
2045,كريمة,كريمة
2046,و,و
2047,سكر,سكر
2048,هل,هل
2049,عندك,عندك
2050,معدل,معدل
2051,نقصان,نقصان
2052,للأعضاء,للأعضاء
2053,هل,هل
2054,هناك,هناك
2055,سوبر,سوبر
2056,اكسبرس,اكسبرس
2057,تسعة,تسعة
2058,و,و
2059,نص,نص
2060,خليني,خليني
2061,اراجع,اراجع
2062,سائل,سائل
2063,الفرامل,الفرامل
2064,و,و
2065,المحرك,المحرك
2066,محركك,محركك
2067,شكله,شكله
2068,خلاص,خلاص
2069,وقف,وقف
2070,ما,ما
2071,كان,كان
2072,غلطي,غلطي
2073,ما,ما
2074,في,في
2075,كهرباء,كهرباء
2076,هل,هل
2077,اي,اي
2078,زول,زول
2079,مفروض,مفروض
2080,يدفع,يدفع
2081,لي,لي
2082,مشروباتو,مشروباته
2083,من,من
2084,فضلك,فضلك
2085,صلح,صلح
2086,دا,ده
2087,في,في
2088,ايام,ايام
2089,رأس,راس
2090,السنة,السنة
2091,و,و
2092,في,في
2093,المناسبات,المناسبات
2094,الخاصة,الخاصة
2095,زي,زي
2096,استقبال,استقبال
2097,العرس,العرس
2098,حفلات,حفلات
2099,الجائزة,الجايزة
2100,او,او
2101,العزاء,العزاء
2102,خردل,خردل
2103,زيادة,زيادة
2104,من,من
2105,فضلك,فضلك
2106,لي,ليه
2107,ما,ما
2108,تديها,تديها
2109,هدية,هدية
2110,ياتو,ياتو
2111,فلم,فلم
2112,انت,انت
2113,بتزكي,بتزكي
2114,دي,دي
2115,عشرين,عشرين
2116,و,و
2117,اديني,اديني
2118,دولارين,دولارين
2119,بقشيش,بقشيش
2120,من,من
2121,فضلك,فضلك
2122,هي,هي
2123,ضربتني,ضربتني
2124,بالجنبة,بالجنبة
2125,ممكن,ممكن
2126,اجي,اجي
2127,عند,عند
2128,التانية,التانية
2129,هل,هل
2130,العفش,العفش
2131,دا,دا
2132,من,من
2133,الرحلة,الرحلة
2134,جيه,جيه
2135,ايه,ايه
2136,ال,ال
2137,صفر,صفر
2138,واحد,واحد
2139,دي,دي
2140,رحلتي,رحلتي
2141,الأولى,الأولى
2142,لباريس,لباريس
2143,ممكن,ممكن
2144,تخمن,تخمن
2145,التكلفة,التكلفة
2146,قبل,قبل
2147,ما,ما
2148,تبدأ,تبدأ
2149,الشغل,الشغل
2150,فيه,فيه
2151,ادخل,ادخل
2152,من,من
2153,فضلك,فضلك
2154,وين,وين
2155,نحن,نحن
2156,نركب,نركب
2157,القارب,القارب
2158,داير,داير
2159,العب,العب
2160,تنس,تنس
2161,هناك,هناك
2162,في,في
2163,اناناس,اناناس
2164,برتقال,برتقال
2165,و,و
2166,عصير,عصير
2167,طماطم,طماطم
2168,جانب,جانب
2169,شمالي,شمالي
2170,للطابق,للطابق
2171,دا,دا
2172,جنب,جنب
2173,المصعد,المصعد
2174,المشغل,المشغل
2175,شنو,شنو
2176,في,في
2177,قاعة,قاعة
2178,الموسيقى,الموسيقى
2179,اليوم,اليوم
2180,ما,ما
2181,ممكن,ممكن
2182,بالأحرى,بالأحرى
2183,تشوف,تشوف
2184,فلم,فلم
2185,مختلف,مختلف
2186,من,من
2187,فضلك,فضلك
2188,حول,حول
2189,شيك,شيك
2190,المسافر,المسافر
2191,دا,دا
2192,لكاش,لكاش
2193,داير,داير
2194,اخد,اخد
2195,نفس,نفس
2196,الكورس,الكورس
2197,بكرة,بكرة
2198,من,من
2199,فضلك,فضلك
2200,انا,انا
2201,من,من
2202,المحتمل,المحتمل
2203,اقدر,اقدر
2204,اديك,اديك
2205,اجابة,اجابة
2206,افضل,افضل
2207,لداك,لداك
2208,بعد,بعد
2209,جوز,جوز
2210,من,من
2211,العروض,العروض
2212,داير,داير
2213,هدية,هدية
2214,لذكري,لذكري
2215,سنوية,سنوية
2216,ياتو,ياتو
2217,ملعوبة,ملعوبة
2218,موسيقية,موسيقية
2219,شغالة,شغالة
2220,اسى,اسى
2221,هل,هل
2222,عندك,عندك
2223,مراية,مراية
2224,اعزرني,اعزرني
2225,بس,بس
2226,انا,انا
2227,ضيعت,ضيعت
2228,طريقي,طريقي
2229,ممكن,ممكن
2230,تساعدني,تساعدني
2231,ما,ما
2232,ممكن,ممكن
2233,تجيب,تجيب
2234,العاب,العاب
2235,نارية,نارية
2236,الى,لي
2237,كندا,كندا
2238,زوجتك,زوجتك
2239,ما,ما
2240,امهرها,امهرها
2241,من,من
2242,طباخة,طباخة
2243,داير,داير
2244,اي,اي
2245,مساعدة,مساعدة
2246,ممكن,ممكن
2247,تعمل,تعمل
2248,حجز,حجز
2249,لتاكسي,لتاكسي
2250,للسادسة,للسادسة
2251,صباح,صباح
2252,بكرة,بكرة
2253,من,من
2254,فضلك,فضلك
2255,داير,داير
2256,شنو,شنو
2257,مع,مع
2258,دخولك,دخولك
2259,هل,هل
2260,هناك,هناك
2261,بوتيك,بوتيك
2262,حوالي,حوالي
2263,هنا,هنا
2264,المكان,المكان
2265,دا,دا
2266,ملئ,ملئ
2267,بالناس,بالناس
2268,ول,ول
2269,لا,لا
2270,جاني,جاني
2271,تشنج,تشنج
2272,في,في
2273,رقبتي,رقبتي
2274,اثناء,اثناء
2275,النوم,النوم
2276,اوكي,اوكي
2277,ما,ما
2278,مشكلة,مشكلة
2279,ممكن,ممكن
2280,اشوف,اشوف
2281,جوازك,جوازك
2282,ما,ما
2283,عندي,عندي
2284,اي,اي
2285,قروش,قروش
2286,في,في
2287,ياتو,ياتو
2288,زمن,زمن
2289,مفروض,مفروض
2290,اكون,اكون
2291,في,في
2292,المحطة,المحطة
2293,في,في
2294,مطاعم,مطاعم
2295,كتيرة,كتيرة
2296,حوالي,حوالي
2297,هنا,هنا
2298,هو,هو
2299,بعد,بعد
2300,غرفة,غرفة
2301,الامانات,الامانات
2302,كلام,كلام
2303,سمح,سمح
2304,معاك,معاك
2305,هل,هل
2306,هناك,هناك
2307,رحلة,رحلة
2308,سياحية,سياحية
2309,بعد,بعد
2310,الظهر,الظهر
2311,انا,انا
2312,مع,مع
2313,اصحابي,اصحابي
2314,استمتعت,استمتعت
2315,بي,بي
2316,قعدتي,قعدتي
2317,شكرا,شكرا
2318,الشاطئ,الشاطئ
2319,تحت,تحت
2320,ما,ما
2321,اجمله,اجمله
2322,من,من
2323,منظر,منظر
2324,شكرا,شكرا
2325,ليك,ليك
2326,للانتظار,للانتظار
2327,مس,مس
2328,مسقاير,مسقاير
2329,هو,هو
2330,هنا,هنا
2331,اتفضلي,اتفضلي
2332,من,من
2333,فضلك,فضلك
2334,هل,هل
2335,عندك,عندك
2336,هوية,هوية
2337,فيها,فيها
2338,صورة,صورة
2339,سبعة,سبعة
2340,من,من
2341,فضلك,فضلك
2342,عندي,عندي
2343,بنطلون,بنطلون
2344,مخطط,مخطط
2345,ممكن,ممكن
2346,احصل,احصل
2347,عليه,عليه
2348,موضح,موضح
2349,اكتر,اكثر
2350,بالتفصيل,بالتفصيل
2351,هل,هل
2352,نمت,نمت
2353,كويس,كويس
2354,ممكن,ممكن
2355,تضغط,تضغط
2356,زر,زر
2357,التصوير,التصوير
2358,مفتاحين,مفتاحين
2359,من,من
2360,فضلك,فضلك
2361,داير,داير
2362,لمبة,لمبة
2363,هو,هو
2364,في,في
2365,نهاية,نهاية
2366,الممر,الممر
2367,داير,داير
2368,بعض,بعض
2369,ورق,ورق
2370,الملاحظات,الملاحظات
2371,نحن,نحن
2372,ماشين,ماشين
2373,بالبص,بالبص
2374,انت,انت
2375,قلت,قلت
2376,انك,انك
2377,ماشي,ماشي
2378,لي,لي
2379,توكيو,توكيو
2380,بكرة,بكرة
2381,خليني,خليني
2382,انوم,انوم
2383,لحدي,لحدي
2384,الساعة,الساعة
2385,تسعة,تسعة
2386,مفروض,مفروض
2387,احول,احول
2388,الى,الى
2389,اي,اي
2390,دبليو,دبليو
2391,واحد,واحد
2392,صفر,صفر
2393,صفر,صفر
2394,هل,هل
2395,ممكن,ممكن
2396,لعبتك,لعبتك
2397,كيف,كيف
2398,الأيام,الأيام
2399,دي,دي
2400,حاسي,حاسي
2401,بضيق,بضيق
2402,في,في
2403,الصدر,الصدر
2404,ما,ما
2405,مشكلة,مشكلة
2406,اذا,اذا
2407,جيت,جيت
2408,في,في
2409,خمسة,خمسة
2410,سبتمبر,سبتمبر
2411,ممكن,ممكن
2412,تستمتع,تستمتع
2413,بعرض,بعرض
2414,فلم,فلم
2415,علمي,علمي
2416,لأننا,لأننا
2417,عندنا,عندنا
2418,يوم,يوم
2419,خاص,خاص
2420,مفتوح,مفتوح
2421,في,في
2422,اول,اول
2423,جمعة,جمعة
2424,من,من
2425,كل,كل
2426,شهر,شهر
2427,هل,هل
2428,عندك,عندك
2429,اي,اي
2430,جولة,جولة
2431,تانية,ثانية
2432,كلو,كله
2433,تمام,تمام
2434,خمسة,خمسة
2435,في,في
2436,المية,المية
2437,خصم,خصم
2438,كدا,كده
2439,اوكي,اوكي
2440,انا,انا
2441,ماشى,ماشى
2442,لي,لي
2443,باريس,باريس
2444,هو,هو
2445,ما,ما
2446,آخر,آخر
2447,موديل,موديل
2448,ول,ولا
2449,لا,لأ
2450,هو,هو
2451,اتجدول,اتجدول
2452,لتمنية,لتمنية
2453,و,و
2454,تلاتين,تلاتين
2455,في,في
2456,المساء,المساء
2457,توقيت,توقيت
2458,محلي,محلي
2459,اخد,اخد
2460,المبنى,المبنى
2461,داك,داك
2462,معانا,معانا
2463,من,من
2464,فضلك,فضلك
2465,دا,ده
2466,شكلو,شكله
2467,كيف,كيف
2468,داير,داير
2469,اشوف,اشوف
2470,الواحد,الواحد
2471,داك,داك
2472,في,في
2473,الشباك,الشباك
2474,من,من
2475,فضلك,فضلك
2476,ماف,ماف
2477,طريقة,طريقة
2478,نحن,نحن
2479,في,في
2480,فاكيشن,فاكيشن
2481,انا,انا
2482,ارفض,ارفض
2483,ان,ان
2484,اقعد,اقعد
2485,في,في
2486,غرفة,غرفة
2487,فندق,فندق
2488,و,و
2489,اشاهد,اشاهد
2490,بيسبول,بيسبول
2491,في,في
2492,التلفزيون,التلفزيون
2493,داير,داير
2494,امشي,امشي
2495,احضر,احضر
2496,مسرحية,مسرحية
2497,ممكن,ممكن
2498,المسه,المسه
2499,ممكن,ممكن
2500,تجي,تجي
2501,هنا,هنا
2502,عشان,عشان
2503,تصلحوا,تصلحوا
2504,داير,داير
2505,بعض,بعض
2506,الفايبر,الفايبر
2507,الصناعي,الصناعي
2508,اسمي,اسمي
2509,تارو,تارو
2510,تاكانا,تاكانا
2511,عندي,عندي
2512,حجز,حجز
2513,داير,داير
2514,بعض,بعض
2515,كريم,كريم
2516,التطهير,التطهير
2517,داير,داير
2518,بلوزة,بلوزة
2519,بي,مع
2520,اكمام,اكمام
2521,طويلة,طويلة
2522,اتسرقت,اتسرقت
2523,مني,مني
2524,شنطتي,شنطتي
2525,طرقاتنا,طرقاتنا
2526,شكلها,شكلها
2527,بتتعارض,بتتعارض
2528,مرات,مرات
2529,كتيرة,كثيرة
2530,ول,ولا
2531,لا,لأ
2532,ممكن,ممكن
2533,اشوف,اشوف
2534,القائمة,القائمة
2535,تاني,ثاني
2536,هم,هم
2537,لسة,لسا
2538,بظهروا,بظهروا
2539,خضر,خضر
2540,شوية,شوية
2541,كم,كم
2542,عدد,عدد
2543,فراولة,فراولة
2544,من,من
2545,فضلك,فضلك
2546,جبل,جبل
2547,فوجي,فوجي
2548,هو,هو
2549,اعلى,اعلى
2550,قمة,قمة
2551,يابانية,يابانية
2552,عند,عند
2553,تلاتة,ثلاثة
2554,الف,الف
2555,و,و
2556,سبعمية,سبعمية
2557,ستة,ستة
2558,وسبعين,وسبعين
2559,متر,متر
2560,لا,لأ
2561,لسة,لسا
2562,في,في
2563,كمية,كمية
2564,تختار,تختار
2565,منهم,منهم
2566,داير,داير
2567,شوية,شوية
2568,كريم,كريم
2569,الليل,الليل
2570,هو,هو
2571,بين,بين
2572,المخبز,المخبز
2573,و,و
2574,دكان,دكان
2575,الجزار,الجزار
2576,ممكن,ممكن
2577,تقصر,تقصر
2578,الأكمام,الأكمام
2579,آسف,آسف
2580,ما,ما
2581,في,في
2582,ملعب,ملعب
2583,قولف,قولف
2584,قريب,قريب
2585,هنا,هنا
2586,ممكن,ممكن
2587,توريني,توريني
2588,الخاتم,الخاتم
2589,التاني,الثاني
2590,من,من
2591,الشمال,الشمال
2592,ممكن,ممكن
2593,تطلب,تطلب
2594,منه,منه
2595,يتصل,يتصل
2596,علي,علي
2597,حاولت,حاولت
2598,اعمل,اعمل
2599,مكالمة,مكالمة
2600,دولية,دولية
2601,دا,ده
2602,غلط,غلط
2603,نعم,نعم
2604,دا,ده
2605,هو,هو
2606,لأنك,لأنك
2607,ممكن,ممكن
2608,تشوف,تشوف
2609,العلم,العلم
2610,قدام,قدام
2611,مكتب,مكتب
2612,البريد,البريد
2613,داير,داير
2614,اعمل,اعمل
2615,مكالمة,مكالمة
2616,هاتفية,هاتفية
2617,بي,بي
2618,كردت,كردت
2619,كارد,كارد
2620,داير,داير
2621,حقي,حقي
2622,يمشي,يمشي
2623,الايام,الايام
2624,دي,دي
2625,دائما,دايما
2626,بستخدم,بستخدم
2627,كمبيوتر,كمبيوتر
2628,في,في
2629,الشغل,الشغل
2630,لا,لأ
2631,داك,داك
2632,كفاية,كفاية
2633,ممكن,ممكن
2634,اخد,اخد
2635,بطانية,بطانية
2636,و,و
2637,مخدة,مخدة
2638,ممكن,ممكن
2639,تجي,تجي
2640,هنا,هنا
2641,بسرعة,بسرعة
2642,قدر,قدر
2643,الإمكان,الإمكان
2644,من,من
2645,فضلك,فضلك
2646,كباية,كباية
2647,قهوة,قهوة
2648,من,من
2649,فضلك,فضلك
2650,بفتش,بفتش
2651,لي,لي
2652,بعض,بعض
2653,البطاقات,البطاقات
2654,الهواوية,الهواوية
2655,نموذجيا,نموذجيا
2656,ممكن,ممكن
2657,تضيق,تضيق
2658,الخصر,الخصر
2659,تلاتة,ثلاثة
2660,سنتيمترات,سنتيمترات
2661,انا,انا
2662,نفس,نفس
2663,العمر,العمر
2664,تلتمية,ثلثمية
2665,و,و
2666,خمسين,خمسين
2667,دولار,دولار
2668,داك,داك
2669,فوق,فوق
2670,ميزانيتي,ميزانيتي
2671,هل,هل
2672,تعرف,تعرف
2673,اذا,اذا
2674,كان,كان
2675,هناك,هناك
2676,اي,اي
2677,فنادق,فنادق
2678,رخيصة,رخيصة
2679,صباح,صباح
2680,الخير,الخير
2681,هل,هل
2682,نمت,نمت
2683,كويس,كويس
2684,ناوي,ناوي
2685,تسوي,تسوي
2686,شنو,شنو
2687,بعد,بعد
2688,ما,ما
2689,تنتهي,تنتهي
2690,المدرسة,المدرسة
2691,اتسرقت,اتسرقت
2692,في,في
2693,شنطة,شنطة
2694,الكتف,الكتف
2695,بتاعتي,بتاعتي
2696,في,في
2697,الشارع,الشارع
2698,هل,هل
2699,عندك,عندك
2700,اي,اي
2701,خدمات,خدمات
2702,تانية,ثانية
2703,غير,غير
2704,الفطور,الفطور
2705,الصباح,الصباح
2706,دا,ده
2707,داير,داير
2708,كباية,كباية
2709,قهوة,قهوة
2710,بيضاء,بيضاء
2711,من,من
2712,فضلك,فضلك
2713,اوكي,اوكي
2714,هل,هل
2715,فندق,فندق
2716,الشيراتون,الشيراتون
2717,حوالي,حوالي
2718,هنا,هنا
2719,اتمنى,اتمنى
2720,انك,انك
2721,ما,ما
2722,تعبان,تعبان
2723,شديد,شديد
2724,داير,داير
2725,اأجر,اأجر
2726,عربية,عربية
2727,من,من
2728,النوع,النوع
2729,دا,ده
2730,لي,لي
2731,يومين,يومين
2732,انا,انا
2733,وقعت,وقعت
2734,عصاية,عصاية
2735,تزلج,تزلج
2736,نحن,نحن
2737,ما,ما
2738,بنجيب,بنجيب
2739,هدايا,هدايا
2740,للاستقبال,للاستقبال
2741,كبديل,كبديل
2742,الضيوف,الضيوف
2743,بجيبوا,بجيبوا
2744,كاش,كاش
2745,داير,داير
2746,ارسله,ارسله
2747,بالبريد,بالبريد
2748,البري,البري
2749,او,او
2750,البحري,البحري
2751,الطيارة,الطيارة
2752,وصلت,وصلت
2753,متأخرة,متأخرة
2754,بسبب,بسبب
2755,الثلج,الثلج
2756,الثقيل,الثقيل
2757,اشحن,اشحن
2758,من,من
2759,فضلك,فضلك
2760,ممكن,ممكن
2761,تاخد,تاخد
2762,رسالة,رسالة
2763,من,من
2764,فضلك,فضلك
2765,سوري,سوري
2766,ما,ما
2767,قادر,قادر
2768,اتابعك,اتابعك
2769,ممكن,ممكن
2770,تتكلم,تتكلم
2771,ابطأ,ابطأ
2772,شوية,شوية
2773,من,من
2774,فضلك,فضلك
2775,ممكن,ممكن
2776,اوريك,اوريك
2777,شنو,شنو
2778,ممكن,ممكن
2779,اخد,اخد
2780,صور,صور
2781,خارج,خارج
2782,المئة,المية
2783,رقم,رقم
2784,الرحلة,الرحلة
2785,اتش,اتش
2786,بي,بي
2787,تسعة,تسعة
2788,وتمانين,وثمانين
2789,لي,لي
2790,طوكيو,طوكيو
2791,في,في
2792,حدعشر,حدعشر
2793,مارس,مارس
2794,ممكن,ممكن
2795,اخد,اخد
2796,نفس,نفس
2797,الصحن,الصحن
2798,زي,زي
2799,داك,داك
2800,هل,هل
2801,عندك,عندك
2802,واحد,واحد
2803,تاني,ثاني
2804,من,من
2805,فضلك,فضلك
2806,جيب,جيب
2807,فطوري,فطوري
2808,لي,لي
2809,غرفتي,غرفتي
2810,سبعة,سبعة
2811,صباح,صباح
2812,بكرة,بكرة
2813,كيف,كيف
2814,ممكن,ممكن
2815,اخده,اخده
2816,هل,هل
2817,هناك,هناك
2818,اي,اي
2819,شواغر,شواغر
2820,في,في
2821,جولة,جولة
2822,الخميس,الخميس
2823,اعذرني,اعذرني
2824,ممكن,ممكن
2825,امر,امر
2826,هل,هل
2827,عندك,عندك
2828,اي,اي
2829,نبتات,نبتات
2830,و,و
2831,فواكه,فواكه
2832,من,من
2833,فضلك,فضلك
2834,وريني,وريني
2835,كيف,كيف
2836,املأ,املأ
2837,بطاقة,بطاقة
2838,النزول,النزول
2839,اعتقد,اعتقد
2840,انو,انو
2841,عربيتي,عربيتي
2842,بتستحق,بتستحق
2843,حوالي,حوالي
2844,خمسة,خمسة
2845,الف,الف
2846,دولار,دولار
2847,هل,هل
2848,الأكل,الأكل
2849,دا,ده
2850,منخفض,منخفض
2851,في,في
2852,السعرات,السعرات
2853,الحرارية,الحرارية
2854,ياتو,ياتو
2855,بص,بص
2856,مفروض,مفروض
2857,اخد,اخد
2858,عشان,عشان
2859,امشي,امشي
2860,المحطة,المحطة
2861,نعم,نعم
2862,دا,ده
2863,هو,هو
2864,لكن,لكن
2865,لازم,لازم
2866,تلف,تلف
2867,شمال,شمال
2868,في,في
2869,الإشارة,الإشارة
2870,التالتة,الثالثة
2871,و,و
2872,تبقى,تبقى
2873,في,في
2874,الشارع,الشارع
2875,داك,داك
2876,لغاية,لغاية
2877,تجي,تجي
2878,لي,لي
2879,شارع,شارع
2880,ستة,ستة
2881,وستين,وستين
2882,داير,داير
2883,كباية,كباية
2884,موية,موية
2885,عشان,عشان
2886,اخد,اخد
2887,دواء,دواء
2888,من,من
2889,فضلك,فضلك
2890,انا,انا
2891,آسف,آسف
2892,عندك,عندك
2893,الرقم,الرقم
2894,غلط,غلط
2895,دي,دي
2896,تانكيوشا,تانكيوشا
2897,بريس,بريس
2898,بنغادر,بنغادر
2899,دي,دي
2900,موسيقة,موسيقة
2901,شنو,شنو
2902,من,من
2903,فضلك,فضلك
2904,ادى,ادى
2905,العصير,العصير
2906,دا,ده
2907,لي,لي
2908,طفلك,طفلك
2909,مقاس,مقاس
2910,واحد,واحد
2911,بعد,بعد
2912,كل,كل
2913,وجبة,وجبة
2914,الاستايل,الاستايل
2915,متوفر,متوفر
2916,في,في
2917,المقاسات,المقاسات
2918,تمنية,ثمانية
2919,وعشرين,وعشرين
2920,واحد,واحد
2921,وتلاتين,وثلاثين
2922,و,و
2923,خمسة,خمسة
2924,وتلاتين,وثلاثين
2925,سنتيمتر,سنتيمتر
2926,اوه,اوه
2927,داك,داك
2928,شكله,شكله
2929,كثير,كثير
2930,ممكن,ممكن
2931,استخدم,استخدم
2932,تلفونك,تلفونك
2933,داك,داك
2934,ريحتو,ريحته
2935,حلوة,حلوة
2936,كم,كم
2937,سعره,سعره
2938,انا,انا
2939,اكلت,اكلت
2940,شوية,شوية
2941,اكتر,اكثر
2942,من,من
2943,اللازم,اللازم
2944,ممكن,ممكن
2945,اتكلم,اتكلم
2946,مع,مع
2947,مس,مس
2948,براون,براون
2949,البيت,البيت
2950,دا,ده
2951,شكلو,شكله
2952,المعيشه,المعيشة
2953,فيهو,فيه
2954,مريحة,مريحة
2955,ول,ولا
2956,لا,لأ
2957,داير,داير
2958,اعمل,اعمل
2959,حجز,حجز
2960,في,في
2961,نورث,نورث
2962,ويست,ويست
2963,رحلة,رحلة
2964,صفر,صفر
2965,تمانية,ثمانية
2966,ستة,ستة
2967,يوم,يوم
2968,خمسة,خمسة
2969,محفظتي,محفظتي
2970,جوازي,جوازي
2971,متين,متين
2972,بتقفل,بتقفل
2973,انتظر,انتظر
2974,دقيقة,دقيقة
2975,احتمال,احتمال
2976,انا,انا
2977,خليته,خليته
2978,في,في
2979,الحمام,الحمام
2980,نعم,نعم
2981,اظن,اظن
2982,كدا,كده
2983,بيتك,بيتك
2984,كبير,كبير
2985,كم,كم
2986,غرفة,غرفة
2987,استمتعنا,استمتعنا
2988,بالعشاء,بالعشاء
2989,انا,انا
2990,فهمت,فهمت
2991,بس,بس
2992,ما,ما
2993,بقدر,بقدر
2994,اقوله,اقوله
2995,اوه,اوه
2996,نعم,نعم
2997,من,من
2998,فضلك,فضلك
2999,بس,بس
3000,انا,انا
3001,بتمنى,بتمنى
3002,ما,ما
3003,يصيبهم,يصيبهم
3004,دوار,دوار
3005,البحر,البحر
3006,لي,لي
3007,طوكيو,طوكيو
3008,من,من
3009,فضلك,فضلك
3010,زمن,زمن
3011,الوصول,الوصول
3012,المتوقع,المتوقع
3013,حقنا,حقنا
3014,شنو,شنو
3015,انا,انا
3016,مغادر,مغادر
3017,بدري,بدري
3018,بكرة,بكرة
3019,عشان,عشان
3020,كده,كده
3021,داير,داير
3022,ادفع,ادفع
3023,اسى,اسي
3024,دراي,دراي
3025,شيري,شيري
3026,من,من
3027,فضلك,فضلك
3028,مقعد,مقعد
3029,لغير,لغير
3030,المدخنين,المدخنين
3031,من,من
3032,فضلك,فضلك
3033,هو,هو
3034,مشغول,مشغول
3035,الآن,الآن
3036,هل,هل
3037,ممكن,ممكن
3038,للأجانب,للأجانب
3039,الوصول,الوصول
3040,للكتب,للكتب
3041,في,في
3042,المكتبة,المكتبة
3043,دي,دي
3044,هل,هل
3045,ممكن,ممكن
3046,اقعد,اقعد
3047,في,في
3048,غرفتي,غرفتي
3049,لغاية,لغاية
3050,اتنين,اثنين
3051,بعد,بعد
3052,الظهر,الظهر
3053,ها-ها,ها-ها
3054,صباح,صباح
3055,الخير,الخير
3056,وقتك,وقتك
3057,اوكي,اوكي
3058,داير,داير
3059,فيلم,فيلم
3060,من,من
3061,رقم,رقم
3062,ال,ال
3063,ايه,ايه
3064,اس,اس
3065,ايه,ايه
3066,ده,ده
3067,للكاميرا,للكاميرا
3068,دي,دي
3069,من,من
3070,فضلك,فضلك
3071,وين,وين
3072,دهانات,دهانات
3073,مونت,مونت
3074,البيتزا,البيتزا
3075,دي,دي
3076,لذيذة,لذيذة
3077,العملها,العملها
3078,منو,منو
3079,الصحن,الصحن
3080,دا,ده
3081,طعمه,طعمه
3082,كيف,كيف
3083,برضه,برضو
3084,هم,هم
3085,غالين,غالين
3086,متين,متين
3087,بغادر,بغادر
3088,القطر,القطر
3089,التالي,التالي
3090,لي,لي
3091,بوسطن,بوسطن
3092,انا,انا
3093,مخطط,مخطط
3094,اتعلم,اتعلم
3095,القولف,القولف
3096,من,من
3097,فضلك,فضلك
3098,اديني,اديني
3099,مشروب,مشروب
3100,تاني,ثاني
3101,راكب,راكب
3102,الموج,الموج
3103,ده,ده
3104,جيد,جيد
3105,جدا,جدا
3106,آسف,آسف
3107,الأكمام,الأكمام
3108,قصيرة,قصيرة
3109,جدا,جدا
3110,ممكن,ممكن
3111,توريني,توريني
3112,كيف,كيف
3113,اخت,اخت
3114,البنزين,البنزين
3115,هل,هل
3116,رسوم,رسوم
3117,الفندق,الفندق
3118,بتشمل,بتشمل
3119,الفطور,الفطور
3120,هل,هل
3121,دا,ده
3122,كل,كل
3123,شي,شي
3124,هو,هو
3125,في,في
3126,الطريق,الطريق
3127,دا,ده
3128,من,من
3129,فضلك,فضلك
3130,ابدا,ابدا
3131,العداد,العداد
3132,غرفتي,غرفتي
3133,باردة,باردة
3134,شديد,شديد
3135,هل,هل
3136,عندك,عندك
3137,واحد,واحد
3138,اكبر,اكبر
3139,شاعر,شاعر
3140,بي,بي
3141,تحسن,تحسن
3142,هل,هل
3143,انت,انت
3144,متالف,متالف
3145,مع,مع
3146,جغرافية,جغرافية
3147,اليابان,اليابان
3148,من,من
3149,فضلك,فضلك
3150,توريني,توريني
3151,لمن,لمن
3152,اكون,اكون
3153,في,في
3154,الخريطة,الخريطة
3155,دي,دي
3156,مئة,مية
3157,في,في
3158,المئة,المية
3159,قطن,قطن
3160,داير,داير
3161,ابدل,ابدل
3162,لي,لي
3163,غرفة,غرفة
3164,مطلة,مطلة
3165,على,على
3166,المحيط,المحيط
3167,هل,هل
3168,هناك,هناك
3169,اي,اي
3170,مصاريف,مصاريف
3171,اضافية,اضافية
3172,كم,كم
3173,سعر,سعر
3174,اجار,اجار
3175,لوحة,لوحة
3176,نص,نص
3177,يوم,يوم
3178,عشرة,عشرة
3179,نوفمبر,نوفمبر
3180,داير,داير
3181,شريط,شريط
3182,آلة,آلة
3183,طباعة,طباعة
3184,انه,انه
3185,طاعم,طاعم
3186,جدا,جدا
3187,نحن,نحن
3188,ماشين,ماشين
3189,متين,متين
3190,كيف,كيف
3191,بتخلي,بتخلي
3192,السواق,السواق
3193,يعرف,يعرف
3194,لم,لم
3195,تكون,تكون
3196,داير,داير
3197,تنزل,تنزل
3198,اربعة,اربعة
3199,وعشرين,وعشرين
3200,دولار,دولار
3201,داير,داير
3202,زيادة,زيادة
3203,عملت,عملت
3204,حجز,حجز
3205,في,في
3206,طوكيو,طوكيو
3207,قبل,قبل
3208,شهر,شهر
3209,اشكرك,اشكرك
3210,من,من
3211,اعماق,اعماق
3212,قلبي,قلبي
3213,هل,هل
3214,انزل,انزل
3215,هنا,هنا
3216,للروكتفلر,للروكتفلر
3217,سنتر,سنتر
3218,من,من
3219,فضلك,فضلك
3220,قيس,قيس
3221,مقاس,مقاس
3222,جزمتي,جزمتي
3223,هو,هو
3224,روعة,روعة
3225,ممكن,ممكن
